Subject,TrialNumber,Task,Stimulus,Image,ClickH_1,ClickH_2,ClickH_3,ClickH_4,ClickH_5,ClickH_6,ClickH_7,ClickH_8,ClickH_9,ClickH_10,ClickH_11,ClickV_1,ClickV_2,ClickV_3,ClickV_4,ClickV_5,ClickV_6,ClickV_7,ClickV_8,ClickV_9,ClickV_10,ClickV_11
9,1,FreeViewing,Puzzle,PUZZLE\puz013.bmp,484,411,297,292,143,276,464,NaN,NaN,NaN,NaN,484,411,297,292,143,276,464,NaN,NaN,NaN,NaN
9,2,Fixation,Natural,NATURAL\nat011.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,3,Fixation,Natural,NATURAL\nat012.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,4,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,5,FreeViewing,Puzzle,PUZZLE\puz015.bmp,341,454,408,149,275,373,374,NaN,NaN,NaN,NaN,341,454,408,149,275,373,374,NaN,NaN,NaN,NaN
9,6,FreeViewing,Natural,NATURAL\nat013.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,7,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,8,FreeViewing,Natural,NATURAL\nat015.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,9,FreeViewing,Waldo,WALDO\wal015.bmp,207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,10,FreeViewing,Waldo,WALDO\wal013.bmp,596,465,472,456,446,84,427,385,406,404,734,596,465,472,456,446,84,427,385,406,404,734
9,11,FreeViewing,Natural,NATURAL\nat014.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,12,Fixation,Puzzle,PUZZLE\puz013.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,13,Fixation,Natural,NATURAL\nat013.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,14,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,15,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,16,Fixation,Waldo,WALDO\wal014.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,17,Fixation,Waldo,WALDO\wal012.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,18,Fixation,Waldo,WALDO\wal015.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,19,FreeViewing,Puzzle,PUZZLE\puz011.bmp,324,154,266,265,168,NaN,NaN,NaN,NaN,NaN,NaN,324,154,266,265,168,NaN,NaN,NaN,NaN,NaN,NaN
9,20,Fixation,Waldo,WALDO\wal013.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,21,FreeViewing,Waldo,WALDO\wal012.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,22,Fixation,Puzzle,PUZZLE\puz014.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,23,Fixation,Puzzle,PUZZLE\puz012.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,24,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,25,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,26,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,27,FreeViewing,Waldo,WALDO\wal014.bmp,826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,28,FreeViewing,Puzzle,PUZZLE\puz014.bmp,465,395,265,86,224,56,279,129,NaN,NaN,NaN,465,395,265,86,224,56,279,129,NaN,NaN,NaN
9,29,FreeViewing,Natural,NATURAL\nat011.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,30,Fixation,Natural,NATURAL\nat015.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,31,FreeViewing,Natural,NATURAL\nat012.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,32,Fixation,Puzzle,PUZZLE\puz011.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,33,Fixation,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,34,FreeViewing,Puzzle,PUZZLE\puz012.bmp,466,171,209,448,313,NaN,NaN,NaN,NaN,NaN,NaN,466,171,209,448,313,NaN,NaN,NaN,NaN,NaN,NaN
9,35,FreeViewing,Blank,GREY\grey.ctx,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,36,Fixation,Puzzle,PUZZLE\puz015.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,37,FreeViewing,Waldo,WALDO\wal011.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,38,Fixation,Waldo,WALDO\wal011.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,39,Fixation,Natural,NATURAL\nat014.bmp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
