Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
7845970,461.38,317.7,455.62,320.775,807,2861,747,2898,1189,1220
7845972,462.26,316.725,454.82,322.275,815,2849,738,2914,1190,1227
7845974,461.06,317.25,454.5,322.5,803,2856,734,2917,1194,1232
7845976,461.14,316.35,455.62,321.375,803,2846,745,2904,1194,1230
7845978,460.74,316.35,454.58,322.05,799,2846,735,2912,1200,1230
7845980,460.82,316.2,453.38,322.35,799,2844,722,2915,1196,1241
7845982,460.82,314.175,454.42,319.35,798,2822,732,2882,1189,1236
7845984,461.06,314.625,453.62,320.85,800,2827,722,2898,1194,1242
7845986,459.86,314.925,454.1,320.625,787,2830,727,2896,1203,1242
7845988,460.26,315.375,453.7,320.475,791,2835,723,2894,1200,1248
7845990,459.7,313.575,453.94,321.225,784,2815,725,2902,1202,1253
7845992,459.62,314.625,453.54,321.45,783,2827,720,2904,1205,1257
7845994,459.78,314.325,454.26,320.25,784,2823,728,2891,1203,1253
7845996,460.1,313.275,454.5,319.425,786,2810,728,2881,1203,1258
7845998,459.3,313.725,453.3,322.35,778,2816,717,2914,1207,1257
7846000,459.54,312.9,453.62,319.2,779,2806,718,2878,1203,1258
7846002,459.7,314.175,454.1,320.475,782,2820,723,2893,1210,1260
7846004,459.94,313.875,454.58,319.575,783,2816,727,2881,1210,1262
7846006,459.7,312.975,453.86,318.975,779,2806,720,2875,1208,1261
7846008,459.94,313.575,454.1,318.9,781,2812,721,2874,1212,1264
7846010,460.1,314.025,454.82,319.275,783,2817,728,2877,1209,1264
7846012,459.7,314.4,454.26,318.9,778,2820,721,2873,1206,1263
7846014,459.38,313.5,453.94,319.575,774,2811,718,2881,1203,1263
7846016,460.18,314.775,454.74,319.35,782,2824,726,2877,1205,1268
7846018,460.26,313.65,454.74,319.65,782,2811,726,2880,1207,1264
7846020,459.38,315.15,455.78,320.025,772,2828,735,2883,1206,1274
7846022,460.34,315.075,454.98,319.725,783,2826,727,2880,1215,1278
7846024,459.86,315,454.66,320.625,777,2825,723,2890,1214,1270
7846026,458.74,315.45,454.1,321.15,765,2830,717,2896,1219,1281
7846028,459.3,315.675,454.82,321.825,770,2833,725,2902,1223,1279
7846030,459.94,315.9,454.66,319.95,778,2834,723,2881,1222,1282
7846032,460.26,315.9,455.22,320.175,780,2834,728,2884,1222,1278
7846034,459.46,316.2,454.5,321.075,771,2838,720,2894,1227,1282
7846036,459.86,316.725,454.74,320.325,776,2843,722,2886,1226,1284
7846038,459.54,316.575,454.98,322.65,772,2842,725,2911,1228,1288
7846040,459.86,316.875,454.5,321.975,775,2845,720,2903,1227,1286
7846042,459.78,317.25,454.1,321,774,2849,715,2893,1229,1283
7846044,459.86,316.65,454.34,320.25,775,2842,717,2885,1226,1287
7846046,459.7,316.125,454.98,321.375,773,2836,724,2897,1229,1281
7846048,459.86,316.65,454.18,321.15,775,2843,716,2895,1227,1289
7846050,459.78,317.4,454.42,320.175,774,2852,718,2884,1228,1286
7846052,459.94,317.4,455.22,321,775,2852,727,2894,1230,1293
7846054,460.42,316.425,455.38,321.3,781,2841,728,2897,1230,1291
7846056,460.18,316.65,455.62,319.875,778,2844,730,2881,1225,1286
7846058,460.02,316.95,454.98,320.475,777,2848,724,2889,1229,1294
7846060,460.34,316.65,455.7,320.55,780,2845,732,2890,1227,1291
7846062,459.94,316.8,455.94,322.875,776,2846,735,2916,1234,1299
7846064,459.78,317.25,457.46,321.3,775,2852,751,2899,1230,1296
7846066,460.42,316.65,456.34,321.375,781,2846,740,2900,1227,1289
7846068,460.58,315.825,456.34,321.525,784,2837,740,2902,1230,1292
7846070,461.3,316.8,456.18,320.475,792,2848,738,2891,1230,1294
7846072,461.14,316.5,457.22,320.25,790,2845,750,2888,1230,1292
7846074,460.9,315.75,456.34,320.175,787,2837,741,2888,1233,1290
7846076,460.66,316.725,457.14,321.525,786,2849,750,2904,1232,1301
7846078,460.98,316.125,456.42,321.3,790,2842,743,2902,1231,1298
7846080,461.3,316.425,456.9,322.275,794,2846,750,2913,1231,1305
7846082,461.62,315.675,457.22,320.775,798,2838,752,2896,1232,1303
7846084,462.02,315.45,458.5,321.3,803,2836,767,2902,1233,1304
7846086,462.02,315.6,457.46,322.125,803,2838,756,2912,1232,1301
7846088,462.1,315.825,457.86,320.4,805,2841,761,2893,1234,1304
7846090,461.86,315.3,457.94,320.7,802,2835,762,2896,1232,1297
7846092,462.1,314.025,457.94,321,806,2821,763,2901,1234,1310
7846094,462.9,314.325,458.18,321.75,815,2824,767,2908,1236,1305
7846096,462.74,314.25,458.26,320.475,814,2824,769,2895,1236,1305
7846098,462.42,314.7,458.02,321.3,811,2829,767,2904,1237,1309
7846100,463.46,314.55,457.3,319.725,823,2828,760,2887,1234,1314
7846102,463.54,314.925,458.82,318.975,824,2831,776,2878,1239,1310
7846104,462.98,314.55,458.74,319.275,820,2828,777,2882,1238,1312
7846106,463.14,314.85,457.86,319.575,821,2831,767,2886,1244,1310
7846108,462.74,314.4,458.1,318.675,819,2827,771,2876,1240,1312
7846110,462.74,314.025,457.94,319.35,818,2823,769,2883,1233,1313
7846112,462.74,314.4,457.7,320.025,820,2827,768,2891,1234,1316
7846114,462.18,313.575,457.78,318.075,814,2818,769,2870,1230,1309
7846116,462.98,313.35,457.22,318.225,824,2815,764,2872,1235,1314
7846118,463.22,314.4,457.86,321.15,827,2827,772,2904,1237,1317
7846120,462.98,314.325,457.78,319.875,826,2826,772,2890,1233,1316
