Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
6338752,432.9,262.425,416.1,252.15,791,2497,619,2381,1196,1656
6338754,432.9,263.4,415.46,253.425,795,2491,618,2377,1193,1658
6338756,432.9,262.275,416.26,253.05,796,2479,626,2374,1196,1657
6338758,432.66,261.225,415.62,252.45,794,2467,619,2367,1191,1666
6338760,433.06,260.4,415.78,252.15,798,2459,620,2364,1190,1663
6338762,433.14,259.95,415.46,251.85,799,2453,618,2360,1195,1663
6338764,433.14,260.325,415.46,252.075,798,2457,617,2363,1195,1665
6338766,433.14,260.55,415.78,251.625,799,2460,621,2358,1194,1668
6338768,433.94,259.125,416.34,252,807,2444,626,2362,1197,1662
6338770,433.3,258.675,416.1,252,800,2440,624,2361,1196,1662
6338772,433.54,259.5,416.26,252.15,803,2448,625,2363,1197,1665
6338774,432.98,258.525,415.7,251.4,797,2438,620,2355,1198,1666
6338776,433.14,259.725,416.02,250.725,799,2450,623,2348,1194,1662
6338778,433.54,258.525,415.7,252.375,803,2438,620,2366,1199,1669
6338780,431.46,260.625,415.78,251.625,780,2460,621,2357,1194,1663
6338782,432.34,260.7,416.18,252.075,790,2461,624,2363,1195,1670
6338784,432.58,261.45,415.46,253.275,792,2470,617,2375,1196,1671
6338786,432.1,261.675,416.1,252.975,787,2472,623,2373,1200,1667
6338788,432.74,262.275,415.78,253.725,793,2478,619,2381,1197,1663
6338790,432.5,262.35,416.02,254.625,790,2479,622,2390,1192,1670
6338792,431.94,262.65,416.1,254.175,784,2483,623,2386,1201,1670
6338794,431.94,262.35,415.86,254.625,785,2479,619,2391,1204,1670
6338796,431.94,264.075,415.78,255.075,784,2499,619,2395,1199,1671
6338798,431.7,263.175,415.7,255.3,782,2488,618,2398,1203,1669
6338800,431.38,264.15,415.62,255.9,777,2499,616,2405,1201,1670
6338802,431.38,263.325,416.1,256.125,778,2491,621,2407,1202,1670
6338804,431.3,264.375,415.94,255.825,776,2502,620,2404,1204,1672
6338806,431.46,264.375,416.18,256.05,778,2502,622,2407,1202,1671
6338808,431.78,263.025,415.86,255.75,781,2488,619,2405,1200,1668
6338810,431.3,263.7,415.78,256.125,776,2496,617,2409,1202,1673
6338812,431.06,264.6,415.3,256.05,773,2506,612,2409,1203,1671
6338814,430.26,264.6,416.1,255.675,765,2506,620,2405,1209,1672
6338816,430.42,264.375,415.86,255.525,766,2504,618,2404,1213,1673
6338818,431.22,263.925,415.46,255.6,775,2500,614,2404,1209,1672
6338820,431.86,263.925,415.78,255.225,782,2500,617,2401,1210,1674
6338822,431.14,263.55,415.62,255.6,774,2496,615,2405,1209,1673
6338824,432.02,262.875,416.02,255,782,2490,619,2399,1210,1674
6338826,430.74,262.875,415.3,255.15,769,2489,611,2401,1209,1669
6338828,431.46,261.75,415.94,254.4,777,2478,618,2394,1209,1672
6338830,431.86,262.5,415.86,254.775,780,2486,617,2398,1206,1673
6338832,431.46,262.35,415.3,254.25,776,2485,611,2392,1200,1672
6338834,431.14,262.35,415.38,253.65,773,2485,612,2386,1206,1671
6338836,431.94,260.85,415.54,253.725,782,2469,613,2387,1203,1670
6338838,431.46,261.3,415.46,253.65,777,2474,613,2386,1203,1671
6338840,431.62,260.775,416.42,253.575,778,2469,622,2386,1202,1672
6338842,431.78,260.325,415.78,253.575,780,2464,615,2386,1207,1670
6338844,431.78,260.775,416.1,253.65,779,2469,619,2387,1209,1670
6338846,432.34,260.4,416.58,253.8,785,2465,623,2389,1208,1669
6338848,431.78,260.85,416.1,253.425,779,2470,618,2384,1200,1672
6338850,432.02,261.075,415.54,253.35,781,2472,613,2383,1209,1669
6338852,432.26,260.925,416.1,253.725,784,2471,619,2387,1202,1668
6338854,431.86,262.35,415.86,253.95,779,2486,616,2389,1203,1669
6338856,431.46,260.25,416.02,253.8,776,2463,618,2388,1206,1666
6338858,432.74,260.025,415.94,254.175,789,2461,616,2392,1200,1667
6338860,432.26,260.475,416.1,254.325,784,2466,618,2394,1198,1668
6338862,432.18,261,416.34,254.1,783,2471,621,2391,1204,1671
6338864,432.66,261.075,416.5,254.7,788,2472,622,2397,1203,1667
6338866,431.62,262.125,416.66,255,777,2483,624,2401,1201,1670
6338868,431.78,262.2,416.42,254.85,779,2484,621,2399,1201,1665
6338870,432.26,262.8,416.26,255.3,783,2490,619,2404,1207,1666
6338872,431.94,261.45,416.42,254.7,781,2476,622,2397,1208,1667
6338874,432.5,260.775,416.02,255.225,787,2468,617,2403,1201,1665
6338876,432.02,263.7,416.34,255.075,781,2499,621,2401,1206,1664
6338878,431.86,262.65,416.9,255.375,780,2488,627,2405,1206,1664
6338880,432.9,262.875,416.58,255.75,791,2491,624,2409,1205,1666
6338882,431.78,261.9,416.9,254.625,779,2480,627,2396,1205,1664
6338884,432.02,261.45,416.9,254.7,783,2475,628,2397,1206,1664
