Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
8157078,447.54,315.975,446.02,325.05,-205,516,-229,610,1435,1832
8157080,456.66,321,454.9,330.225,-201,511,-227,606,1436,1833
8157082,456.74,320.175,454.98,329.175,-199,502,-225,595,1433,1834
8157084,456.18,320.475,455.38,330.375,-205,505,-223,608,1437,1835
8157086,455.46,321,454.98,330.3,-212,510,-226,607,1437,1833
8157088,456.26,319.725,455.38,330,-204,497,-222,605,1437,1835
8157090,456.42,321,455.38,329.775,-203,511,-221,602,1435,1838
8157092,456.82,320.475,455.54,330.225,-198,505,-220,608,1432,1835
8157094,457.06,320.4,456.1,330.675,-195,505,-215,613,1439,1837
8157096,456.82,319.725,455.94,330,-197,497,-215,605,1426,1839
8157098,457.22,318.975,455.7,329.7,-192,490,-217,602,1428,1842
8157100,455.94,320.55,455.94,329.55,-206,505,-215,600,1435,1846
8157102,456.58,319.05,456.1,329.325,-198,490,-212,598,1435,1845
8157104,456.98,318.6,455.94,328.875,-194,486,-213,594,1435,1841
8157106,456.18,317.925,456.26,329.1,-200,478,-210,596,1438,1845
8157108,456.74,319.125,455.94,329.025,-196,491,-213,595,1441,1844
8157110,455.94,318.225,456.34,328.65,-202,481,-208,591,1443,1845
8157112,457.14,318.675,456.26,328.425,-190,486,-209,588,1438,1846
8157114,456.02,317.55,455.94,329.025,-200,474,-211,594,1436,1846
8157116,456.18,318.075,455.78,328.05,-199,479,-212,584,1443,1844
8157118,456.26,318.225,455.46,328.35,-197,481,-215,587,1437,1845
8157120,455.54,317.625,455.86,328.8,-204,474,-211,592,1440,1848
8157122,455.62,318.45,455.62,328.275,-203,482,-212,586,1444,1847
8157124,456.18,316.2,455.86,328.875,-195,459,-210,593,1438,1849
8157126,455.54,316.425,455.7,328.875,-201,461,-211,592,1435,1848
8157128,455.7,316.35,455.86,328.65,-199,460,-210,590,1436,1847
8157130,455.46,315.975,455.78,328.65,-201,456,-210,590,1440,1847
8157132,455.54,316.875,455.62,328.8,-201,466,-212,591,1437,1848
8157134,454.5,316.275,455.54,328.875,-211,458,-212,592,1438,1850
8157136,455.3,318,455.54,328.95,-205,477,-212,592,1439,1848
8157138,455.14,316.575,455.46,329.25,-204,462,-213,595,1434,1850
8157140,454.98,317.025,455.38,329.175,-206,466,-214,595,1440,1852
8157142,455.06,317.025,454.98,329.25,-205,466,-217,595,1437,1851
