Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
8435468,430.66,249.975,417.62,256.95,104,-339,-34,-274,1330,1620
8435470,434.74,251.25,421.78,258.075,106,-339,-31,-275,1329,1621
8435472,434.9,251.4,421.54,257.925,107,-336,-34,-277,1331,1618
8435474,435.14,250.05,422.1,257.25,110,-351,-28,-284,1324,1622
8435476,435.62,250.65,421.7,258.15,115,-344,-32,-274,1327,1622
8435478,435.06,248.925,422.26,257.85,111,-363,-26,-277,1330,1624
8435480,435.78,251.025,421.94,257.85,117,-340,-29,-277,1324,1625
8435482,434.74,250.5,422.26,257.325,106,-346,-26,-283,1329,1625
8435484,435.14,250.275,421.94,258.15,111,-348,-29,-274,1331,1626
8435486,436.18,251.625,422.66,257.025,120,-333,-21,-285,1330,1629
8435488,435.78,249.45,422.1,258.3,119,-357,-27,-272,1327,1625
8435490,435.86,249.75,422.1,257.25,119,-354,-26,-284,1334,1629
8435492,435.54,250.05,422.42,256.875,116,-351,-22,-287,1332,1628
8435494,435.3,249.825,422.1,257.325,114,-353,-26,-283,1328,1628
8435496,436.1,249.225,422.42,257.475,123,-359,-22,-281,1332,1630
8435498,435.7,249.675,422.66,256.65,119,-354,-19,-290,1329,1631
8435500,436.34,249.225,422.34,257.025,126,-359,-22,-286,1329,1631
8435502,435.14,248.475,422.74,256.575,115,-367,-17,-290,1332,1629
8435504,435.78,249.075,422.9,256.425,122,-360,-15,-292,1334,1630
8435506,436.02,248.775,422.82,256.275,124,-364,-16,-293,1330,1628
8435508,436.5,249.675,422.98,255.975,130,-353,-13,-296,1331,1632
8435510,436.1,250.5,422.82,256.725,124,-345,-16,-288,1335,1629
8435512,436.5,248.7,422.66,256.2,131,-364,-16,-294,1332,1631
8435514,435.7,248.025,422.82,256.2,123,-371,-14,-294,1336,1633
8435516,435.78,247.5,422.5,256.425,125,-377,-17,-292,1330,1632
8435518,435.62,248.175,422.98,256.05,123,-370,-11,-296,1337,1630
8435520,436.26,248.175,423.22,256.35,130,-369,-8,-292,1332,1628
8435522,436.58,247.875,422.82,255.525,134,-373,-11,-301,1333,1634
8435524,435.54,248.025,422.82,255.6,124,-372,-10,-300,1336,1629
8435526,436.5,248.925,422.98,255.9,134,-362,-9,-297,1336,1634
8435528,435.14,247.425,422.9,256.05,122,-378,-9,-296,1335,1631
8435530,435.14,247.725,422.74,256.125,121,-375,-11,-295,1338,1631
8435532,436.1,247.8,422.74,255.45,132,-373,-9,-302,1336,1634
8435534,435.62,248.475,422.82,255.3,127,-367,-9,-304,1340,1633
8435536,435.46,247.875,422.74,255.075,126,-373,-9,-306,1340,1636
8435538,436.02,247.95,422.66,255.6,132,-372,-10,-300,1338,1632
8435540,435.7,248.025,423.22,255.9,129,-371,-4,-297,1339,1634
8435542,435.06,248.025,422.42,255.45,122,-372,-12,-302,1339,1635
8435544,436.66,247.05,422.66,255.9,140,-381,-9,-297,1337,1634
8435546,435.94,247.575,422.58,255.6,132,-376,-10,-301,1338,1632
8435548,435.14,248.7,423.38,255.825,123,-365,-2,-298,1341,1635
8435550,435.38,248.925,422.66,255.9,126,-362,-9,-297,1344,1634
8435552,435.3,248.025,422.82,255.9,126,-372,-7,-297,1344,1632
8435554,434.82,247.95,422.82,255.525,121,-373,-6,-301,1338,1635
8435556,435.3,246.975,422.9,256.2,127,-383,-6,-294,1340,1634
8435558,435.62,246.9,422.42,255,130,-383,-10,-307,1336,1634
8435560,435.62,248.85,423.22,255.525,129,-363,-3,-301,1338,1638
8435562,435.14,248.625,422.82,255.6,124,-366,-7,-301,1343,1636
8435564,435.3,249.45,422.9,256.35,124,-356,-7,-293,1351,1635
8435566,435.46,249.3,422.58,256.125,126,-358,-10,-295,1347,1635
8435568,435.62,249.675,422.98,255.9,127,-354,-6,-297,1348,1638
8435570,435.06,249.675,423.3,256.35,122,-354,-3,-292,1344,1637
8435572,435.3,248.4,423.06,256.35,125,-367,-6,-292,1345,1638
8435574,435.3,249.225,423.22,256.05,124,-358,-4,-295,1348,1638
8435576,435.14,249.75,423.3,255.525,121,-353,-3,-300,1350,1638
8435578,435.38,249.75,422.66,256.125,124,-353,-10,-294,1351,1635
8435580,434.58,249.15,423.38,255.975,116,-360,-3,-295,1347,1637
8435582,435.38,248.55,423.22,255.45,125,-365,-5,-301,1352,1639
8435584,435.38,248.775,422.66,255.825,124,-363,-11,-297,1347,1638
8435586,435.06,249.075,423.14,254.475,121,-359,-5,-310,1350,1639
8435588,435.3,249.225,423.22,254.175,122,-358,-5,-314,1347,1642
8435590,435.7,248.325,423.06,254.25,127,-367,-7,-313,1349,1642
8435592,435.7,248.1,422.74,254.475,126,-369,-10,-311,1348,1639
8435594,435.3,248.1,423.38,255.15,122,-370,-5,-303,1349,1640
8435596,436.02,248.25,422.66,254.55,129,-368,-12,-311,1353,1639
8435598,435.3,248.625,422.9,254.475,121,-364,-9,-311,1349,1640
8435600,435.62,248.475,423.38,254.025,125,-366,-5,-316,1353,1643
8435602,435.86,247.575,423.22,254.175,127,-375,-6,-314,1347,1638
8435604,436.02,249.075,423.22,254.475,127,-359,-7,-311,1354,1638
8435606,435.62,248.25,423.38,254.1,124,-369,-5,-315,1349,1641
8435608,435.62,248.025,423.14,254.4,123,-371,-8,-312,1353,1642
8435610,434.42,249.075,423.54,254.55,111,-360,-5,-310,1353,1638
8435612,434.74,249.15,423.62,254.325,113,-359,-4,-313,1353,1640
8435614,435.62,248.925,423.06,253.575,122,-362,-9,-321,1352,1642
8435616,435.3,249.075,423.3,253.125,118,-360,-7,-326,1351,1643
8435618,435.14,248.925,422.98,253.95,116,-362,-11,-318,1350,1640
8435620,434.9,247.35,422.98,253.65,115,-379,-11,-321,1345,1641
8435622,435.54,246.675,423.14,254.625,121,-386,-10,-311,1350,1639
8435624,435.78,247.65,423.54,252.975,123,-376,-6,-328,1355,1643
8435626,435.46,247.95,423.7,254.25,119,-373,-5,-315,1349,1640
8435628,435.86,248.325,423.78,253.35,122,-369,-5,-324,1351,1646
