Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
9067128,456.34,309.225,452.74,315.975,465,985,421,1052,1607,2144
9067130,456.58,309.45,452.5,316.725,467,987,418,1061,1602,2146
9067132,456.9,309.75,452.26,317.55,470,990,415,1069,1598,2149
9067134,456.02,309.975,452.34,318.45,461,992,414,1078,1596,2149
9067136,455.54,308.7,452.58,318.825,457,979,416,1082,1590,2151
9067138,455.62,308.475,452.26,319.125,458,976,413,1085,1598,2155
9067140,455.22,309.9,452.58,320.025,452,990,415,1096,1594,2154
9067142,455.38,309.6,452.26,320.7,455,988,412,1102,1595,2153
9067144,456.18,309.375,452.18,320.25,463,986,411,1098,1593,2159
9067146,455.38,310.275,452.26,321,454,996,412,1106,1598,2157
9067148,455.38,311.025,452.74,321.075,453,1004,416,1107,1600,2157
9067150,455.38,310.425,452.66,321.225,454,997,415,1109,1595,2158
9067152,456.18,311.7,452.02,321.375,461,1011,409,1110,1604,2162
9067154,455.86,310.575,452.1,321.6,459,1000,410,1113,1599,2162
9067156,454.98,313.575,452.58,321.3,447,1031,414,1110,1607,2160
9067158,455.62,313.95,452.42,321.6,454,1036,413,1114,1603,2162
9067160,456.02,312.15,452.34,321.45,459,1017,412,1112,1600,2164
9067162,456.02,312.9,452.98,320.925,458,1026,419,1108,1603,2161
9067164,455.3,312.15,452.42,321.675,452,1017,413,1115,1609,2168
9067166,455.78,313.05,452.82,321,455,1028,418,1109,1610,2164
9067168,455.22,312.225,452.74,320.625,451,1018,417,1105,1607,2164
9067170,456.58,311.55,452.34,320.625,465,1014,413,1105,1606,2166
9067172,456.34,311.25,452.74,320.025,463,1009,418,1100,1606,2169
9067174,456.18,311.4,452.98,319.65,462,1012,420,1096,1611,2167
9067176,455.94,310.35,452.98,319.125,460,1001,421,1091,1601,2169
9067178,456.34,309.75,453.06,318.975,465,995,422,1090,1605,2169
9067180,456.42,310.575,452.82,318.45,465,1003,420,1084,1609,2172
9067182,456.98,309.825,453.06,317.775,471,996,423,1077,1612,2171
9067184,456.58,308.475,452.9,316.725,469,981,422,1066,1608,2177
9067186,456.26,308.475,452.66,316.125,465,982,420,1059,1604,2177
9067188,456.58,306.825,452.74,315.525,470,965,421,1053,1600,2183
9067190,457.14,306.975,452.82,315.6,475,967,422,1054,1602,2183
9067192,456.02,308.025,452.74,315.075,463,977,422,1048,1598,2182
9067194,456.42,307.5,452.74,315.075,467,971,422,1048,1607,2181
9067196,456.74,306.975,452.82,314.025,471,965,424,1036,1602,2184
9067198,456.02,307.35,452.58,314.175,463,968,421,1037,1599,2183
9067200,457.22,306,452.18,313.95,477,955,417,1034,1610,2187
9067202,456.58,306.525,452.1,313.275,469,960,417,1027,1609,2187
9067204,456.66,304.2,452.26,314.025,473,935,418,1035,1601,2185
9067206,456.58,306.825,452.66,314.25,469,962,421,1036,1606,2188
9067208,456.02,305.625,452.18,314.1,464,949,416,1034,1605,2189
9067210,456.18,306,452.34,314.775,466,952,418,1041,1602,2186
9067212,456.34,306.525,452.42,314.475,467,957,418,1038,1609,2187
9067214,456.18,306.9,452.74,314.475,465,961,422,1037,1609,2190
9067216,456.5,306.75,452.5,315.45,468,959,419,1048,1604,2187
9067218,456.1,307.875,452.34,316.125,463,970,416,1054,1600,2186
9067220,455.86,307.8,452.58,316.2,460,969,419,1055,1613,2184
9067222,456.34,308.175,452.5,317.325,464,973,417,1066,1609,2181
9067224,455.86,307.95,451.78,317.775,460,970,409,1070,1609,2183
9067226,455.86,310.275,452.42,318,458,994,414,1073,1607,2180
9067228,455.46,309.225,452.34,318.3,454,983,413,1076,1601,2181
9067230,455.78,310.125,452.18,319.05,457,992,411,1083,1605,2182
9067232,455.54,311.55,452.18,318.75,452,1007,410,1080,1612,2184
9067234,455.14,310.425,451.86,319.2,449,994,407,1084,1599,2183
9067236,456.26,309.825,452.26,319.125,461,989,411,1084,1603,2185
9067238,455.86,311.1,452.1,319.05,455,1002,409,1083,1604,2189
9067240,454.98,310.35,452.26,319.95,447,993,410,1092,1605,2186
9067242,456.1,310.95,452.42,319.5,458,1001,411,1087,1604,2186
9067244,456.18,310.95,451.78,319.65,459,1001,404,1089,1613,2185
9067246,455.94,310.125,451.94,319.125,456,992,406,1083,1610,2190
9067248,455.46,311.025,452.02,318.525,451,1001,408,1077,1615,2192
9067250,455.46,308.7,452.1,318.675,452,976,408,1078,1608,2187
9067252,455.7,310.275,451.86,317.7,453,993,406,1068,1618,2194
9067254,455.38,309.75,452.02,318.225,450,988,407,1074,1613,2193
9067256,455.46,309.6,452.1,316.95,451,986,408,1060,1613,2198
9067258,456.26,309.825,451.7,317.25,458,989,404,1063,1615,2194
9067260,456.1,309.6,451.94,316.725,456,986,407,1058,1616,2194
9067262,456.1,309,451.86,316.5,456,980,406,1056,1617,2195
9067264,456.42,309.825,451.46,315.825,459,989,402,1048,1620,2201
9067266,456.58,309.075,451.62,315.525,460,981,403,1044,1616,2200
9067268,456.1,309.075,451.54,315.15,455,980,402,1040,1619,2201
9067270,455.38,308.7,451.7,315.225,447,975,403,1041,1622,2204
9067272,455.38,308.325,451.62,314.925,448,972,403,1038,1621,2205
9067274,455.46,308.325,451.78,314.25,447,971,404,1030,1621,2207
9067276,455.7,307.575,451.22,314.4,451,963,398,1031,1616,2206
9067278,455.3,308.475,451.62,314.175,445,972,402,1029,1621,2204
9067280,455.3,307.575,451.06,313.425,446,962,397,1020,1619,2208
9067282,455.3,308.175,451.3,314.1,445,967,398,1027,1619,2206
9067284,456.02,307.5,451.14,312.825,453,961,397,1012,1606,2210
9067286,455.62,307.875,450.9,312.975,447,964,394,1014,1610,2206
9067288,455.86,309.075,450.34,313.2,448,977,387,1015,1609,2202
9067290,455.38,307.275,450.66,312.375,444,956,391,1006,1609,2208
9067292,455.38,306.6,450.58,312.075,444,949,390,1002,1614,2206
9067294,454.58,307.2,450.82,312.075,435,954,392,1002,1608,2209
9067296,455.3,307.275,450.58,312.3,442,955,389,1004,1610,2208
9067298,455.06,306.975,450.66,312.075,439,951,388,1000,1615,2207
9067300,455.06,307.5,450.5,312.3,438,957,387,1003,1614,2207
9067302,455.22,307.425,450.42,312.075,438,955,385,1000,1620,2209
9067304,454.74,307.275,450.58,312.15,434,953,386,1001,1621,2208
9067306,454.82,308.175,451.14,312.675,432,962,390,1006,1625,2208
9067308,454.98,308.4,450.9,312.6,434,964,388,1005,1618,2208
9067310,453.46,309.375,450.74,312.6,416,972,385,1003,1618,2212
9067312,454.18,309.15,450.74,313.125,424,971,385,1009,1616,2208
9067314,453.78,309.825,450.18,314.1,418,977,377,1019,1618,2206
9067316,454.82,311.25,450.5,314.85,427,993,379,1027,1625,2206
9067318,454.98,311.4,450.66,315.75,427,994,378,1036,1617,2205
9067320,454.98,312.675,450.18,316.425,426,1008,373,1042,1616,2205
9067322,454.26,312.375,450.26,316.5,417,1003,372,1044,1618,2203
9067324,454.82,311.775,450.34,316.8,424,997,373,1047,1617,2204
9067326,455.7,313.425,450.34,316.95,430,1016,371,1048,1617,2206
9067328,454.66,311.4,449.78,317.25,421,993,365,1050,1616,2210
9067330,455.14,312.525,450.26,317.25,424,1005,369,1051,1609,2205
9067332,455.38,312.375,449.94,316.8,426,1004,366,1045,1615,2211
9067334,454.98,312.375,449.94,317.25,421,1003,364,1050,1618,2214
9067336,455.62,311.85,450.58,316.35,428,998,371,1041,1617,2208
9067338,455.14,312.225,450.66,316.2,421,1002,371,1039,1623,2210
9067340,455.14,311.475,449.78,315.45,422,994,363,1031,1616,2213
9067342,455.46,310.65,450.34,314.625,425,985,369,1023,1612,2213
