Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
9120350,460.02,305.625,462.02,306,469,963,488,969,1669,2137
9120352,461.38,306.75,463.06,307.725,469,956,486,968,1662,2139
9120354,460.98,307.2,463.3,308.4,465,961,487,976,1666,2139
9120356,460.9,308.85,463.14,308.4,462,978,486,976,1672,2146
9120358,460.82,307.05,463.14,308.475,463,959,486,976,1669,2146
9120360,461.06,309.45,463.14,309.225,463,985,485,985,1671,2151
9120362,461.22,310.95,462.9,308.775,463,1001,483,980,1668,2146
9120364,460.58,311.55,463.38,309.45,456,1007,487,987,1666,2148
9120366,460.74,311.7,462.82,310.05,457,1009,480,993,1667,2149
9120368,460.82,313.2,462.98,310.125,456,1025,482,994,1664,2155
9120370,460.58,312.3,462.98,310.05,455,1015,482,994,1667,2152
9120372,460.74,311.7,462.5,309.9,457,1009,478,992,1672,2151
9120374,460.42,311.775,463.06,309.975,454,1010,483,994,1675,2152
9120376,461.38,310.05,462.74,309.75,466,992,480,991,1672,2152
9120378,460.98,311.4,462.34,309.525,460,1007,476,989,1667,2156
9120380,460.82,311.4,463.06,309.6,458,1006,484,990,1668,2153
9120382,460.66,312,462.82,309.975,457,1013,481,994,1667,2155
9120384,460.66,310.95,462.82,309.375,457,1002,482,988,1665,2156
9120386,460.9,310.05,462.82,309.45,461,993,481,989,1658,2152
9120388,460.66,312.15,462.58,308.775,457,1015,479,981,1661,2154
9120390,460.34,311.4,462.18,309,454,1007,476,983,1667,2154
9120392,460.34,310.5,462.98,308.7,455,997,484,981,1664,2155
9120394,460.98,308.775,462.74,308.55,463,979,481,979,1662,2155
9120396,460.34,308.55,462.66,308.85,457,977,480,982,1673,2154
9120398,460.74,309.75,462.58,308.325,459,990,480,977,1667,2150
9120400,460.5,309,462.5,307.95,458,982,479,973,1673,2156
9120402,460.82,307.95,462.74,307.875,462,971,482,972,1674,2153
9120404,461.38,307.35,462.82,308.25,468,965,482,976,1674,2154
9120406,460.82,307.65,462.74,307.2,462,968,482,965,1676,2157
9120408,460.18,307.2,462.58,307.2,455,962,480,964,1672,2162
9120410,460.98,308.475,462.42,307.425,462,976,478,966,1674,2155
9120412,461.54,307.8,461.94,307.2,469,970,473,963,1675,2157
9120414,460.34,306.75,462.5,307.125,457,956,479,963,1669,2157
9120416,460.5,306.075,462.42,306.825,460,950,479,959,1670,2156
9120418,460.82,306.9,462.18,307.35,462,958,475,964,1668,2155
9120420,459.7,305.7,462.26,307.2,452,944,476,963,1671,2157
9120422,460.58,305.325,462.34,306.9,461,941,477,959,1672,2157
9120424,460.58,306.6,462.18,308.025,459,954,474,971,1669,2158
9120426,460.26,306.9,461.78,308.325,455,956,469,973,1665,2159
9120428,460.98,306.675,462.02,308.025,463,954,472,969,1670,2152
9120430,461.22,306.6,462.26,307.95,465,953,474,968,1668,2153
9120432,459.86,307.65,461.7,307.95,450,963,469,968,1672,2155
9120434,460.9,308.25,462.34,308.4,460,969,474,972,1671,2152
9120436,459.86,310.2,462.5,308.55,446,989,475,974,1665,2154
9120438,460.18,308.175,462.42,308.925,452,967,474,978,1667,2155
9120440,460.66,307.95,462.26,309,457,966,473,978,1668,2155
9120442,460.18,308.7,462.5,308.7,451,972,475,975,1670,2155
9120444,460.34,308.475,461.94,308.925,453,970,469,976,1669,2160
9120446,460.5,307.65,462.02,308.925,455,961,470,976,1667,2156
9120448,460.5,307.725,461.94,308.85,456,962,468,975,1672,2156
9120450,460.5,309.45,462.18,309.45,453,979,471,981,1666,2158
9120452,459.46,309.075,461.78,308.7,444,974,467,973,1653,2157
9120454,459.54,309.375,462.18,309,444,977,472,976,1649,2154
9120456,460.42,309,462.34,309.525,453,974,472,982,1647,2156
9120458,460.34,309.825,461.7,308.4,451,983,466,969,1652,2155
9120460,460.74,308.25,461.38,308.925,457,966,463,974,1673,2159
9120462,460.42,308.925,462.02,308.625,453,973,469,971,1666,2160
9120464,460.1,309.825,461.62,308.775,449,982,466,972,1673,2157
9120466,460.18,309.6,461.54,308.4,450,980,464,968,1676,2156
9120468,460.02,309.225,461.78,309.075,448,975,467,976,1671,2157
9120470,460.66,308.85,461.54,308.85,455,972,464,973,1673,2157
9120472,460.58,309.9,461.22,309,453,983,461,974,1670,2160
9120474,460.74,308.4,461.78,308.625,456,967,467,971,1674,2156
9120476,459.46,310.725,461.46,308.475,441,990,464,969,1669,2159
9120478,460.26,309.225,461.3,308.625,450,975,462,970,1672,2160
9120480,460.66,306.375,461.14,308.4,457,945,460,967,1652,2157
9120482,460.34,307.575,461.14,308.7,453,957,460,970,1651,2159
9120484,460.1,309.075,461.22,308.7,449,973,461,970,1652,2158
9120486,459.46,307.725,461.46,308.925,444,958,463,973,1651,2159
9120488,459.94,309.075,460.58,308.625,447,972,454,968,1653,2158
9120490,460.1,308.7,460.98,308.775,449,968,458,970,1657,2155
9120492,459.94,308.025,461.14,308.625,448,961,459,969,1643,2155
9120494,460.5,307.275,460.9,308.925,454,953,457,971,1646,2157
9120496,459.7,308.325,461.38,308.475,445,964,462,967,1651,2156
9120498,460.5,307.275,461.14,308.625,454,953,459,968,1658,2159
9120500,460.66,308.25,461.14,308.325,455,964,459,965,1665,2155
9120502,460.82,309.075,460.98,308.475,455,972,458,966,1670,2157
9120504,460.58,307.275,460.9,308.625,454,953,456,967,1671,2160
9120506,460.82,307.65,460.82,308.475,457,957,455,965,1667,2157
9120508,460.34,307.05,461.54,308.475,452,950,463,966,1648,2156
9120510,459.94,308.325,461.06,308.325,447,963,458,964,1652,2154
9120512,460.02,308.775,461.06,308.325,447,967,458,964,1648,2154
9120514,460.5,309.075,461.22,308.625,451,971,459,966,1653,2156
9120516,460.34,308.7,461.14,308.7,450,967,459,967,1655,2156
9120518,460.5,308.1,461.38,308.325,453,961,462,963,1652,2155
9120520,460.02,309.6,461.22,308.775,446,975,459,968,1652,2156
9120522,460.82,307.575,461.3,309,456,955,459,970,1650,2153
9120524,459.94,310.275,461.14,308.7,444,982,459,967,1646,2156
9120526,460.82,310.275,461.06,309,453,984,457,970,1645,2159
9120528,459.94,308.775,460.82,309.6,446,967,454,976,1644,2157
9120530,459.62,309.525,461.3,309.3,442,974,459,974,1640,2156
9120532,460.18,309.225,461.3,309.6,448,972,459,977,1641,2155
