Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
9269478,514.9,243.9,502.5,243.225,1230,366,1104,344,1273,1663
9269480,513.62,243.975,501.38,242.325,1229,373,1106,341,1273,1665
9269482,513.78,243.225,501.46,242.55,1231,366,1107,344,1277,1666
9269484,513.22,244.05,500.82,242.85,1225,373,1099,346,1274,1670
9269486,513.78,243.9,500.9,242.775,1231,372,1101,346,1275,1670
9269488,514.26,242.775,501.14,243.075,1237,361,1103,349,1274,1676
9269490,514.1,244.125,501.38,242.25,1234,376,1107,341,1278,1672
9269492,513.22,242.25,501.06,242.7,1227,355,1102,345,1277,1677
9269494,512.9,242.475,500.98,242.7,1224,357,1102,345,1279,1675
9269496,513.86,242.925,500.58,243,1233,363,1097,348,1276,1677
9269498,513.7,242.775,500.74,243.075,1232,362,1099,349,1273,1678
9269500,514.5,243.825,500.5,243.075,1239,373,1097,349,1280,1683
9269502,513.86,242.925,500.42,243.225,1233,364,1096,351,1274,1683
9269504,514.26,243.15,500.74,243.675,1237,366,1098,355,1281,1688
9269506,513.94,243.075,500.34,243.375,1234,366,1095,352,1287,1683
9269508,513.38,243.45,500.74,243.825,1228,369,1098,358,1278,1685
9269510,513.86,243.375,500.34,243.9,1233,369,1094,359,1278,1687
9269512,513.46,244.725,500.34,244.275,1228,383,1094,362,1280,1689
9269514,513.54,245.175,500.18,244.5,1228,388,1092,365,1280,1691
9269516,513.22,245.55,500.42,244.8,1224,392,1094,368,1281,1692
9269518,513.22,246,500.02,244.875,1224,397,1091,369,1278,1694
9269520,513.3,245.025,500.5,245.625,1225,387,1094,378,1282,1697
9269522,513.06,245.475,500.98,246.6,1223,391,1098,389,1280,1699
9269524,513.14,246.3,500.42,246.15,1222,400,1093,384,1278,1700
9269526,512.9,246.45,500.34,246.6,1220,402,1091,388,1279,1699
9269528,512.9,245.175,500.34,247.425,1222,389,1091,397,1279,1701
9269530,512.66,246.675,500.34,246.675,1217,405,1091,390,1277,1703
9269532,512.42,247.95,500.58,247.275,1213,418,1093,397,1276,1701
9269534,512.82,246.225,500.26,246.9,1219,400,1090,392,1278,1704
9269536,512.1,246.15,500.34,246.525,1212,398,1091,388,1280,1705
9269538,512.1,245.775,500.02,246.825,1212,395,1088,392,1279,1705
9269540,512.5,246.45,499.78,246.525,1216,403,1086,388,1268,1704
9269542,512.66,245.1,500.02,245.775,1219,389,1089,381,1273,1702
9269544,512.42,245.4,499.86,245.925,1216,392,1087,383,1268,1705
9269546,512.34,244.65,499.54,245.25,1216,384,1085,375,1271,1701
9269548,512.42,246.3,499.22,244.275,1216,401,1083,365,1265,1698
9269550,512.02,244.8,499.62,244.425,1213,385,1087,367,1269,1701
9269552,511.86,243.075,499.7,244.2,1213,367,1088,364,1272,1698
9269554,512.1,245.175,499.46,243.6,1213,389,1086,358,1267,1698
9269556,511.54,243.075,499.14,242.925,1210,366,1084,350,1277,1703
9269558,511.38,244.8,499.3,243.225,1206,384,1085,353,1274,1700
9269560,512.02,242.925,498.58,242.475,1215,365,1078,344,1271,1706
9269562,510.82,243.6,498.42,241.725,1201,370,1077,336,1274,1702
9269564,510.82,241.8,498.58,241.575,1204,352,1079,335,1275,1701
9269566,511.7,242.925,498.66,241.05,1211,364,1080,329,1275,1697
9269568,510.58,241.875,498.18,241.2,1201,352,1075,330,1275,1705
9269570,511.54,242.625,498.5,241.875,1210,360,1077,337,1277,1708
9269572,510.82,242.55,498.58,241.8,1202,359,1078,337,1278,1709
9269574,510.82,243.3,498.42,241.8,1201,366,1076,336,1277,1710
9269576,511.46,243,498.74,241.95,1207,364,1079,337,1274,1705
9269578,510.98,243.825,498.34,242.625,1201,371,1074,343,1277,1709
9269580,510.42,243,498.18,241.95,1197,362,1073,336,1277,1708
9269582,511.62,243.45,498.02,243.375,1208,367,1070,350,1273,1711
9269584,511.22,243.525,497.86,243.525,1204,368,1067,351,1278,1710
9269586,510.98,244.425,498.66,243.975,1200,376,1075,356,1270,1713
9269588,511.3,244.05,497.78,244.65,1204,372,1065,362,1273,1711
9269590,510.42,243.525,498.5,243.975,1196,365,1073,356,1275,1713
9269592,510.9,244.65,498.58,245.4,1199,377,1072,370,1279,1716
9269594,510.98,245.175,498.5,245.325,1199,382,1071,369,1279,1713
