Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
9733628,451.94,319.575,450.74,319.8,208,1448,196,1448,816,1150
9733630,458.98,318.375,457.38,318.15,210,1451,195,1447,817,1152
9733632,459.54,319.725,458.02,318.15,214,1466,201,1448,819,1157
9733634,459.54,319.275,457.46,318.45,215,1462,195,1450,822,1160
9733636,460.02,320.25,457.7,319.35,219,1473,196,1460,820,1162
9733638,459.46,319.575,458.18,318.825,214,1465,202,1455,821,1164
9733640,459.7,319.725,458.02,318.825,215,1467,199,1456,822,1163
9733642,459.86,320.475,458.58,319.575,217,1475,204,1464,820,1168
9733644,459.06,319.2,458.5,319.95,210,1460,203,1468,828,1170
9733646,459.14,320.25,458.9,320.55,209,1471,206,1475,827,1174
9733648,459.78,319.125,458.98,320.85,217,1461,207,1478,825,1174
9733650,459.94,320.55,458.34,321.375,218,1476,200,1483,828,1180
9733652,459.22,321.15,458.66,321.6,210,1482,203,1486,830,1183
9733654,459.06,320.85,459.06,321.975,208,1479,206,1490,832,1184
9733656,459.54,321.075,458.82,320.925,213,1482,206,1480,828,1183
9733658,459.46,322.125,458.98,321.825,211,1493,206,1489,827,1189
9733660,459.14,321.825,458.82,322.875,208,1490,204,1501,829,1188
9733662,458.98,323.1,458.66,322.425,205,1503,202,1496,831,1189
9733664,458.98,320.325,458.58,322.35,209,1475,202,1495,832,1191
9733666,458.58,319.8,458.5,322.65,205,1468,201,1499,834,1191
9733668,459.22,321.075,458.18,322.05,211,1483,198,1492,834,1194
9733670,459.38,319.875,458.42,322.125,214,1471,201,1493,837,1196
9733672,458.74,320.25,458.18,322.125,207,1475,199,1494,834,1197
9733674,458.66,320.4,458.5,321.75,206,1476,203,1490,839,1194
9733676,458.98,320.175,458.34,321.6,210,1475,202,1489,841,1198
9733678,458.74,320.475,457.94,321.825,207,1478,198,1491,842,1199
9733680,458.5,320.325,457.78,322.05,206,1476,197,1493,840,1201
9733682,458.02,319.95,458.18,321.6,202,1472,201,1489,839,1206
9733684,459.06,320.475,458.1,321.525,212,1479,201,1489,842,1206
9733686,458.26,320.325,458.58,321.975,204,1476,205,1494,837,1203
9733688,458.18,318.6,458.02,321.225,207,1459,202,1487,836,1205
9733690,458.98,317.85,458.1,321.075,216,1452,202,1484,836,1205
9733692,458.18,320.25,457.86,321.225,205,1477,201,1486,835,1205
9733694,458.98,320.775,458.66,322.2,213,1483,207,1498,839,1207
9733696,459.06,319.35,458.5,321.6,216,1468,208,1492,836,1209
9733698,458.34,321.15,458.34,322.35,206,1486,205,1499,835,1206
9733700,458.66,319.65,458.42,321.975,212,1472,207,1496,840,1210
9733702,458.9,320.85,458.42,321.6,212,1485,207,1492,836,1211
9733704,458.9,320.55,458.5,321.825,214,1482,208,1494,841,1212
9733706,459.54,320.175,458.42,322.725,220,1478,206,1504,851,1217
9733708,459.7,319.425,458.1,322.425,223,1471,203,1501,855,1220
9733710,459.94,318.3,458.1,322.725,227,1459,203,1504,854,1219
9733712,459.78,319.125,457.94,322.125,225,1468,203,1498,856,1222
9733714,459.62,320.1,457.86,322.875,222,1478,201,1505,853,1220
9733716,458.9,319.8,458.18,322.95,215,1475,204,1507,854,1221
9733718,459.3,319.425,457.94,322.35,220,1471,202,1501,858,1222
9733720,459.46,320.4,457.86,322.875,220,1482,201,1506,856,1222
9733722,458.98,321.3,458.18,322.8,215,1491,204,1506,854,1225
9733724,459.3,320.85,458.18,322.65,219,1487,205,1505,855,1223
9733726,459.78,322.5,458.02,323.175,222,1505,203,1510,852,1225
9733728,458.82,321.75,457.78,322.275,212,1496,201,1500,849,1227
9733730,458.82,320.475,457.3,322.275,214,1482,197,1500,853,1227
9733732,458.1,320.85,457.7,323.325,206,1486,199,1512,849,1227
9733734,458.58,320.85,457.7,322.5,212,1486,200,1503,851,1229
9733736,458.74,319.2,457.86,323.4,214,1470,201,1513,854,1231
9733738,459.3,319.95,457.46,323.325,219,1478,197,1512,855,1231
9733740,458.74,321.375,457.46,323.025,212,1493,197,1508,851,1233
9733742,458.5,319.875,457.46,323.1,212,1477,197,1509,851,1233
9733744,458.18,321.075,457.94,323.175,207,1489,201,1511,855,1233
9733746,457.86,320.325,457.3,322.725,204,1481,196,1506,857,1232
9733748,458.1,321.075,457.78,323.025,205,1489,199,1509,855,1234
9733750,458.5,320.85,457.3,323.25,210,1487,195,1511,854,1232
9733752,459.46,321.675,457.54,323.025,218,1497,197,1509,855,1233
9733754,458.26,321.375,457.54,322.95,207,1492,197,1508,857,1235
9733756,458.58,320.4,457.38,323.1,210,1482,195,1509,861,1236
9733758,458.18,320.85,456.98,323.25,206,1487,190,1511,863,1234
9733760,457.38,320.775,457.38,323.025,197,1485,195,1509,859,1238
9733762,457.7,320.625,457.38,323.025,201,1483,195,1508,859,1234
9733764,457.14,320.55,457.46,323.1,195,1481,195,1509,863,1236
9733766,457.14,321.15,457.06,323.475,194,1488,191,1512,859,1239
9733768,457.22,321,457.3,323.1,195,1486,193,1508,860,1238
9733770,458.42,318.975,456.74,323.1,210,1466,187,1507,859,1241
9733772,457.38,321.375,456.74,323.55,196,1490,186,1512,860,1240
9733774,458.02,320.025,457.06,323.175,204,1476,190,1508,864,1239
9733776,457.22,320.85,456.5,322.2,193,1483,185,1497,862,1245
9733778,458.34,318.675,456.18,322.2,208,1461,181,1497,863,1243
