Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
952510,450.5,224.7,458.1,191.55,-1601,4313,-1494,3939,2327,2158
952512,450.58,223.65,457.22,197.1,-1600,4300,-1508,4001,2334,2223
952514,450.66,224.325,459.78,198.525,-1600,4308,-1482,4019,2344,2224
952516,450.34,223.425,458.74,198.3,-1602,4297,-1493,4016,2325,2246
952518,449.7,223.5,457.86,199.2,-1608,4297,-1502,4025,2325,2247
952520,450.5,222.825,455.14,192.45,-1600,4291,-1526,3947,2325,2209
952522,449.94,223.725,459.7,198,-1606,4300,-1482,4012,2329,2234
952524,450.66,223.125,458.9,197.85,-1598,4294,-1491,4010,2326,2250
952526,450.5,223.65,459.54,198.225,-1600,4299,-1483,4014,2327,2227
952528,450.5,222.9,459.46,201.6,-1598,4291,-1486,4053,2328,2282
952530,450.66,224.325,459.86,203.025,-1597,4306,-1483,4068,2341,2287
952532,450.82,224.55,459.46,200.925,-1596,4309,-1485,4044,2345,2282
952534,450.42,223.95,458.18,199.875,-1600,4301,-1498,4031,2347,2275
952536,450.02,224.85,458.58,200.775,-1604,4311,-1494,4041,2358,2306
952538,450.26,225.225,459.14,203.775,-1602,4315,-1490,4075,2358,2316
952540,450.18,225.15,459.22,203.025,-1602,4314,-1489,4067,2359,2317
952542,450.98,224.85,459.46,206.625,-1593,4311,-1488,4108,2364,2334
952544,450.58,224.7,460.66,200.475,-1598,4309,-1470,4038,2363,2291
952546,449.62,224.175,458.5,201.45,-1606,4301,-1494,4047,2360,2289
952548,450.66,225.075,458.98,200.7,-1597,4312,-1488,4039,2366,2283
952550,450.1,224.55,457.94,199.725,-1602,4305,-1499,4026,2366,2298
952552,450.34,223.65,458.34,199.2,-1598,4294,-1494,4021,2347,2299
952554,450.9,222.9,459.46,204.975,-1592,4285,-1486,4086,2344,2314
952556,450.18,222.825,458.58,200.625,-1599,4284,-1492,4036,2351,2310
952558,450.18,222.9,458.02,199.2,-1599,4284,-1496,4019,2350,2287
952560,450.42,222.9,459.06,201.375,-1596,4284,-1487,4044,2350,2304
952562,450.26,223.275,458.82,200.1,-1598,4287,-1489,4028,2350,2280
952564,450.1,222.825,458.74,200.775,-1599,4282,-1490,4036,2354,2309
