Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
2658284,358.5,297.9,362.9,311.475,-2028,3968,-1989,4125,1048,956
2658286,358.26,297.45,363.46,311.625,-2030,3963,-1983,4126,1045,957
2658288,358.02,298.35,363.22,311.925,-2034,3973,-1986,4130,1050,956
2658290,358.82,298.575,362.58,311.55,-2025,3976,-1992,4126,1050,961
2658292,358.1,297.6,363.3,312.675,-2032,3964,-1986,4139,1052,956
2658294,358.66,297.75,362.9,312.6,-2027,3966,-1990,4137,1050,966
2658296,358.02,298.725,361.3,310.35,-2035,3977,-2006,4111,1051,967
2658298,357.78,298.65,361.54,311.4,-2037,3976,-2004,4123,1046,964
2658300,358.5,296.775,361.62,310.275,-2029,3954,-2004,4110,1050,963
2658302,357.14,297.9,362.9,310.5,-2044,3966,-1990,4112,1049,969
2658304,358.02,298.5,361.14,310.875,-2036,3973,-2010,4115,1048,967
2658306,357.94,297.15,361.46,309.075,-2035,3958,-2005,4095,1053,963
2658308,357.3,297.45,361.7,310.275,-2043,3960,-2004,4108,1048,967
2658310,358.1,298.275,361.46,311.325,-2035,3970,-2006,4120,1045,967
2658312,357.78,297.3,361.54,312.825,-2038,3957,-2007,4136,1044,955
2658314,358.34,297.15,361.06,309.9,-2031,3956,-2010,4103,1046,965
2658316,357.78,296.325,361.7,310.2,-2038,3946,-2004,4106,1042,968
2658318,358.18,297.075,361.78,310.275,-2034,3954,-2003,4106,1044,957
2658320,357.78,296.925,361.3,311.625,-2037,3952,-2009,4121,1047,958
2658322,358.02,295.95,361.3,309.525,-2034,3941,-2008,4097,1044,966
2658324,358.66,296.7,362.98,308.25,-2027,3948,-1988,4081,1047,964
2658326,358.74,296.25,363.78,308.1,-2026,3942,-1979,4080,1046,968
2658328,359.38,297,363.54,309.45,-2019,3950,-1982,4094,1045,966
2658330,359.3,297.75,363.7,309.15,-2021,3959,-1980,4091,1048,970
2658332,359.38,296.925,363.38,309.975,-2018,3948,-1983,4099,1047,965
2658334,360.26,297.675,363.62,309.825,-2009,3957,-1980,4097,1047,971
2658336,359.86,296.85,363.54,310.875,-2012,3945,-1981,4107,1045,970
2658338,360.02,297.525,363.94,309.825,-2010,3953,-1975,4095,1047,970
2658340,359.86,297.375,364.58,310.575,-2010,3950,-1967,4102,1046,974
2658342,360.42,297.75,364.26,308.1,-2004,3954,-1969,4074,1047,974
2658344,361.06,296.925,364.26,310.8,-1994,3943,-1969,4103,1045,966
