Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
6286063,510.02,237.9,501.7,237.3,-268,3601,-355,3602,1125,1285
6286065,510.18,239.775,501.86,239.175,-267,3586,-354,3587,1120,1287
6286067,510.42,240.075,500.9,240.3,-265,3588,-363,3599,1120,1279
6286069,510.02,240.15,501.14,239.1,-268,3590,-362,3586,1121,1288
6286071,510.26,240,501.38,241.725,-266,3588,-357,3615,1120,1284
6286073,510.5,239.775,501.86,237.975,-264,3586,-355,3573,1119,1289
6286075,510.58,239.925,501.38,238.95,-263,3586,-360,3584,1116,1288
6286077,510.1,239.4,501.54,239.25,-268,3581,-358,3588,1112,1286
6286079,510.74,239.55,502.42,239.325,-262,3582,-349,3588,1117,1288
6286081,510.9,239.625,502.02,239.4,-260,3583,-353,3589,1114,1289
6286083,510.58,239.775,501.94,238.05,-264,3585,-355,3574,1113,1285
6286085,511.06,239.4,502.82,238.725,-259,3581,-345,3580,1116,1289
6286087,510.74,239.4,503.62,238.05,-262,3580,-338,3572,1113,1284
6286089,512.18,238.275,503.62,239.4,-249,3567,-337,3587,1109,1282
6286091,511.3,238.8,503.86,239.55,-256,3573,-334,3589,1106,1277
6286093,511.06,240.15,505.3,238.95,-258,3589,-319,3581,1108,1283
6286095,511.94,239.475,504.58,241.725,-249,3580,-324,3612,1107,1277
6286097,511.46,240.075,503.94,240.525,-254,3588,-332,3600,1102,1279
6286099,511.46,240.75,504.82,239.85,-252,3595,-323,3591,1106,1280
6286101,512.1,241.125,505.38,241.5,-245,3599,-315,3609,1105,1280
6286103,511.86,241.425,505.54,240.45,-246,3602,-314,3597,1105,1278
6286105,511.78,241.125,505.62,241.8,-248,3599,-311,3612,1104,1272
6286107,511.62,241.05,505.7,241.95,-249,3599,-310,3614,1105,1276
6286109,511.94,242.025,506.42,243.45,-244,3609,-301,3630,1102,1270
6286111,511.86,242.025,505.78,242.4,-244,3610,-307,3619,1099,1269
6286113,512.02,243.375,505.62,244.725,-241,3625,-306,3645,1099,1266
6286115,511.22,242.775,506.1,242.7,-248,3619,-302,3623,1103,1266
6286117,511.62,242.55,506.26,242.025,-244,3616,-301,3615,1106,1269
6286119,511.7,242.25,505.7,243.3,-242,3614,-303,3631,1102,1265
6286121,512.66,243.975,505.94,243.6,-230,3632,-301,3634,1101,1266
6286123,513.06,243.75,506.5,242.025,-225,3630,-295,3617,1096,1268
6286125,512.9,242.1,506.18,242.175,-228,3612,-298,3619,1104,1267
