Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
4887657,459.38,333.525,439.3,325.575,-1684,742,-1894,664,3269,2862
4887659,466.42,326.775,447.46,318.075,-1691,759,-1890,673,3267,2862
4887661,466.74,327.075,447.22,318.75,-1688,763,-1892,680,3267,2864
4887663,466.5,325.2,446.58,317.775,-1691,742,-1899,669,3272,2869
4887665,465.94,325.8,446.5,319.65,-1698,749,-1900,690,3274,2875
4887667,465.86,326.475,447.14,319.8,-1697,756,-1893,691,3273,2875
4887669,465.22,326.025,446.34,319.35,-1705,752,-1902,687,3277,2875
4887671,464.74,326.325,446.9,318.9,-1710,755,-1897,682,3267,2870
4887673,464.02,327.45,446.66,322.35,-1718,767,-1899,718,3268,2883
4887675,463.78,325.8,446.82,319.35,-1720,750,-1898,686,3272,2876
4887677,464.02,327.375,446.34,320.775,-1718,767,-1903,702,3265,2881
4887679,463.62,326.85,446.34,321.075,-1722,761,-1903,705,3270,2886
4887681,463.94,328.05,446.58,320.1,-1719,774,-1901,694,3271,2879
4887683,463.38,327.825,446.34,322.8,-1725,771,-1903,723,3274,2893
4887685,463.3,327.825,445.38,323.4,-1726,771,-1914,730,3266,2901
4887687,463.62,328.8,445.38,323.175,-1723,781,-1914,728,3271,2902
4887689,462.66,328.275,446.18,323.025,-1733,776,-1906,726,3276,2899
4887691,462.98,326.25,446.42,323.7,-1730,755,-1903,732,3285,2902
4887693,462.74,327.6,446.74,322.95,-1734,769,-1900,724,3284,2894
4887695,462.66,327.825,447.22,321.975,-1734,771,-1895,714,3278,2894
4887697,462.5,326.1,446.82,323.325,-1736,753,-1900,728,3291,2897
4887699,461.94,327.45,447.62,320.7,-1742,767,-1892,700,3286,2898
4887701,461.86,326.475,447.38,322.35,-1744,757,-1895,718,3288,2900
4887703,462.26,325.95,446.58,323.7,-1740,751,-1903,733,3289,2910
4887705,461.38,327,447.7,322.275,-1749,763,-1892,717,3288,2906
4887707,461.46,325.425,447.86,321.075,-1749,746,-1891,704,3286,2906
4887709,461.38,324.525,447.78,321.75,-1751,736,-1893,712,3287,2904
4887711,462.26,324.6,448.42,321.6,-1741,737,-1885,710,3293,2905
4887713,461.7,324.075,447.54,321.45,-1748,732,-1895,709,3291,2913
4887715,461.22,325.125,448.02,319.575,-1753,743,-1891,688,3298,2923
4887717,460.58,323.925,448.02,320.925,-1760,731,-1890,703,3298,2917
4887719,460.58,323.7,448.82,321.075,-1759,728,-1882,704,3297,2918
4887721,460.9,324.45,448.66,320.925,-1756,736,-1884,703,3300,2918
4887723,461.14,323.1,447.94,319.275,-1754,721,-1892,685,3294,2907
4887725,460.34,323.775,449.22,319.725,-1762,729,-1878,690,3301,2912
4887727,460.42,323.25,449.46,320.1,-1761,723,-1876,693,3295,2918
4887729,459.94,323.55,448.74,318.975,-1766,726,-1883,682,3296,2910
4887731,460.02,322.8,448.74,321.075,-1766,719,-1883,704,3297,2926
4887733,460.5,323.55,448.82,319.875,-1761,726,-1882,691,3301,2924
4887735,459.46,322.8,449.38,319.8,-1771,719,-1877,690,3296,2918
4887737,459.78,323.55,449.06,320.4,-1768,727,-1880,697,3297,2922
4887739,460.18,323.85,449.54,320.1,-1764,730,-1875,694,3299,2920
4887741,459.46,322.05,449.38,320.1,-1772,711,-1877,693,3304,2928
4887743,459.14,322.725,449.3,320.475,-1775,718,-1877,698,3307,2929
4887745,459.7,322.875,449.62,319.65,-1769,720,-1874,689,3302,2923
4887747,459.22,322.2,450.02,319.35,-1774,713,-1871,685,3302,2924
4887749,459.54,322.35,449.7,319.35,-1771,714,-1874,686,3304,2923
4887751,459.22,322.875,449.86,318.75,-1775,720,-1873,680,3303,2920
4887753,459.3,321.675,449.86,320.175,-1774,708,-1872,694,3303,2929
4887755,459.22,321.3,450.74,318.075,-1774,704,-1863,672,3304,2919
4887757,459.46,322.875,450.5,318,-1771,720,-1865,671,3306,2920
4887759,458.74,321.15,451.22,317.475,-1779,702,-1858,666,3305,2919
4887761,459.3,322.35,451.06,316.95,-1773,715,-1860,661,3312,2910
4887763,458.9,321.375,451.38,316.725,-1777,705,-1856,658,3306,2916
4887765,458.74,322.5,451.06,316.275,-1779,717,-1859,654,3303,2920
4887767,459.22,321.675,451.7,317.7,-1774,708,-1853,668,3309,2920
4887769,458.9,322.8,451.46,317.25,-1777,721,-1855,664,3310,2917
4887771,458.42,322.125,451.14,318.075,-1783,714,-1859,672,3303,2932
4887773,459.22,321.75,451.22,318.375,-1774,710,-1858,676,3305,2935
4887775,459.06,322.125,451.86,317.175,-1776,714,-1852,663,3309,2924
4887777,459.22,321.9,452.58,316.35,-1775,711,-1844,655,3303,2921
4887779,458.5,321.45,451.94,316.425,-1782,707,-1852,656,3304,2924
4887781,458.74,321.15,451.78,315.6,-1779,704,-1853,647,3301,2923
4887783,459.14,321.975,452.42,316.875,-1775,713,-1847,661,3311,2931
4887785,458.82,322.275,451.78,315.075,-1778,716,-1853,642,3303,2924
4887787,459.22,321,451.7,319.2,-1774,703,-1853,686,3310,2943
4887789,458.02,321.825,451.7,317.775,-1786,713,-1853,672,3309,2935
4887791,458.34,321.75,452.18,318.9,-1783,711,-1848,683,3311,2942
4887793,458.66,321.9,452.26,316.8,-1780,714,-1848,661,3309,2934
4887795,458.5,321.15,452.74,318.825,-1782,706,-1842,683,3311,2944
4887797,458.42,322.35,451.54,319.425,-1782,718,-1854,689,3311,2946
4887799,458.42,321.975,452.1,317.25,-1782,714,-1849,667,3311,2937
4887801,458.82,321.825,452.74,317.775,-1779,714,-1842,672,3314,2935
4887803,458.26,321.825,451.7,317.475,-1784,714,-1853,669,3310,2933
4887805,457.94,322.05,451.7,317.4,-1787,717,-1853,669,3314,2942
4887807,457.94,322.2,452.5,318.3,-1787,718,-1845,679,3312,2943
4887809,457.94,322.5,451.94,318.3,-1788,722,-1851,679,3310,2943
4887811,457.06,322.35,451.78,319.725,-1797,721,-1852,694,3314,2953
4887813,457.14,322.125,451.78,320.475,-1796,719,-1852,703,3312,2952
4887815,456.98,322.2,451.94,319.8,-1797,720,-1850,696,3314,2947
4887817,456.9,322.2,452.1,318.825,-1798,721,-1848,686,3315,2949
4887819,456.58,322.125,451.38,321.525,-1801,720,-1856,715,3309,2952
4887821,456.58,322.425,450.98,319.875,-1802,723,-1860,698,3313,2955
4887823,456.1,322.35,451.94,319.5,-1806,723,-1850,694,3314,2954
4887825,456.34,321.75,451.94,319.65,-1804,716,-1850,696,3316,2953
4887827,455.94,321.6,452.9,316.425,-1808,715,-1840,661,3310,2934
4887829,455.78,321.45,452.42,315.975,-1810,714,-1845,657,3316,2935
4887831,456.18,321.675,452.34,316.125,-1806,716,-1847,659,3313,2933
4887833,456.82,321.9,451.38,317.475,-1799,719,-1856,673,3313,2948
4887835,456.58,321.375,451.46,316.725,-1801,713,-1855,666,3316,2944
4887837,456.26,320.925,452.26,315.525,-1805,709,-1847,652,3314,2937
4887839,456.42,319.875,452.1,315.6,-1803,698,-1849,653,3319,2942
4887841,456.42,321.15,452.02,316.575,-1803,710,-1850,663,3322,2938
4887843,456.1,320.625,452.82,314.325,-1806,705,-1842,639,3320,2933
4887845,456.5,321.075,451.94,315,-1802,710,-1851,646,3323,2939
4887847,456.5,320.925,452.66,316.2,-1803,708,-1843,659,3324,2941
4887849,456.66,321,452.66,313.575,-1800,708,-1844,631,3320,2933
4887851,456.02,320.7,452.26,315.15,-1807,705,-1847,648,3314,2940
4887853,456.42,320.4,452.74,315.45,-1803,702,-1842,650,3322,2940
4887855,456.82,319.5,453.14,314.625,-1799,692,-1838,642,3318,2933
4887857,456.02,320.475,453.46,316.05,-1807,702,-1835,656,3322,2943
4887859,456.58,319.2,452.9,315.525,-1801,688,-1841,651,3320,2938
4887861,457.14,320.85,453.54,315.15,-1795,706,-1833,646,3325,2937
4887863,457.46,319.8,453.54,314.775,-1792,694,-1833,642,3326,2936
4887865,459.46,320.25,454.02,313.5,-1771,698,-1829,628,3324,2932
4887867,460.98,319.425,456.42,314.175,-1755,688,-1804,634,3321,2938
4887869,462.98,317.55,457.62,312.975,-1735,667,-1791,620,3323,2933
4887871,465.22,317.175,460.34,309.6,-1711,663,-1763,584,3324,2934
4887873,467.7,316.725,462.26,307.65,-1685,656,-1743,562,3323,2934
4887875,469.78,315.3,462.02,308.925,-1664,641,-1746,575,3325,2938
4887877,470.18,314.85,462.02,309.825,-1659,635,-1745,585,3324,2933
4887879,470.26,313.875,461.94,308.925,-1658,625,-1745,575,3313,2931
4887881,469.86,313.2,460.42,310.2,-1661,617,-1760,588,3317,2935
4887883,469.62,312.3,460.9,310.2,-1664,608,-1755,588,3312,2939
4887885,470.18,313.05,460.34,309.3,-1658,615,-1760,578,3317,2926
4887887,469.54,311.475,460.34,309.825,-1664,598,-1760,584,3318,2944
4887889,469.54,312.6,460.9,308.55,-1663,610,-1753,570,3320,2943
4887891,470.26,313.35,461.14,308.625,-1656,618,-1751,570,3320,2934
4887893,470.02,313.725,460.66,311.175,-1657,621,-1754,597,3321,2944
4887895,469.3,313.8,461.62,308.925,-1664,622,-1745,573,3326,2943
4887897,470.34,314.7,461.86,310.5,-1653,631,-1741,589,3325,2940
4887899,469.94,313.8,462.26,308.475,-1657,622,-1737,567,3318,2944
4887901,470.34,314.4,461.62,309.525,-1651,627,-1743,578,3325,2947
4887903,470.34,314.325,462.82,306.825,-1651,627,-1731,549,3324,2940
4887905,470.1,314.325,463.22,309.525,-1653,626,-1725,577,3320,2950
4887907,470.02,314.85,462.5,310.05,-1653,632,-1732,583,3324,2945
4887909,470.18,314.7,463.22,308.475,-1651,629,-1724,566,3319,2942
4887911,469.86,314.4,463.14,309.525,-1654,626,-1725,576,3322,2948
4887913,470.1,315.15,462.9,308.025,-1650,634,-1726,561,3328,2945
4887915,469.86,314.025,463.54,308.55,-1653,622,-1719,566,3327,2956
4887917,470.18,314.475,462.02,309.6,-1649,627,-1734,577,3333,2958
4887919,470.34,313.725,462.98,307.275,-1647,619,-1725,552,3325,2956
4887921,470.18,314.175,462.58,310.5,-1648,623,-1727,587,3330,2962
4887923,469.94,314.175,463.14,309.9,-1650,623,-1722,580,3324,2957
4887925,470.02,314.1,463.14,309.6,-1649,622,-1721,576,3320,2952
4887927,470.18,313.725,462.98,309.975,-1647,618,-1722,580,3318,2958
4887929,469.7,314.475,463.3,308.925,-1651,626,-1719,569,3321,2955
4887931,470.18,313.8,463.14,308.4,-1646,618,-1721,564,3316,2950
4887933,469.54,314.025,463.62,310.5,-1652,621,-1714,585,3318,2957
4887935,469.7,315,463.06,310.125,-1650,631,-1720,581,3327,2961
4887937,469.62,315.45,462.82,309.525,-1650,636,-1722,575,3324,2956
4887939,469.78,313.875,463.06,312,-1649,619,-1719,601,3318,2968
4887941,469.38,314.85,462.66,310.65,-1653,629,-1723,587,3321,2952
4887943,469.14,313.95,462.5,308.85,-1655,620,-1725,568,3320,2943
4887945,469.38,314.625,462.02,310.2,-1652,627,-1729,582,3322,2961
4887947,468.98,314.1,462.34,308.175,-1656,621,-1726,561,3322,2947
4887949,469.38,315.075,463.22,307.725,-1651,631,-1717,555,3325,2941
4887951,468.58,314.4,462.82,308.85,-1660,624,-1721,568,3324,2950
4887953,468.82,314.7,462.34,306.525,-1657,627,-1726,542,3319,2950
4887955,468.66,314.325,461.94,307.125,-1659,623,-1730,549,3324,2947
4887957,468.34,312.3,461.46,306.375,-1662,602,-1734,541,3316,2956
4887959,468.26,313.275,461.7,306.225,-1663,612,-1733,539,3319,2948
4887961,468.74,314.325,461.7,305.925,-1657,623,-1732,536,3327,2957
4887963,468.5,313.125,462.1,305.85,-1660,610,-1728,535,3319,2957
4887965,467.78,313.2,462.1,306.75,-1668,612,-1728,544,3322,2952
4887967,468.02,311.925,461.7,305.7,-1665,597,-1732,533,3317,2951
4887969,467.06,311.925,461.62,306.825,-1675,598,-1733,545,3315,2959
4887971,466.98,311.1,461.54,307.5,-1677,589,-1734,553,3308,2954
4887973,467.78,313.275,461.86,306,-1667,612,-1730,536,3309,2956
4887975,467.46,313.35,461.7,306.15,-1670,613,-1732,538,3326,2951
4887977,467.46,313.875,461.86,306.75,-1671,618,-1730,544,3327,2950
4887979,466.98,312.375,461.06,304.8,-1676,602,-1738,523,3323,2952
4887981,466.98,313.875,461.46,306.3,-1676,618,-1734,539,3328,2950
4887983,467.38,312.9,461.22,306.825,-1672,608,-1737,544,3327,2953
4887985,467.22,313.725,460.98,306.45,-1673,616,-1739,541,3330,2949
4887987,467.22,314.175,461.7,307.05,-1673,621,-1732,547,3325,2956
4887989,467.22,313.5,461.06,308.025,-1674,613,-1738,557,3330,2956
4887991,467.54,313.2,461.78,308.25,-1671,610,-1731,559,3324,2955
4887993,467.7,314.4,461.62,309.9,-1668,622,-1733,577,3334,2964
4887995,466.98,313.275,461.46,307.95,-1676,611,-1734,556,3329,2945
4887997,467.14,313.8,461.54,306.375,-1675,616,-1734,539,3326,2952
4887999,467.06,314.175,461.22,307.5,-1676,620,-1738,551,3335,2947
4888001,467.86,314.25,461.38,307.575,-1667,621,-1735,552,3330,2952
4888003,466.9,312.825,461.62,308.4,-1678,606,-1733,561,3321,2958
4888005,468.02,313.875,461.46,307.65,-1665,617,-1734,553,3325,2955
4888007,468.26,312.975,461.14,309.15,-1663,607,-1737,569,3326,2957
4888009,467.78,313.8,461.46,307.725,-1668,616,-1734,553,3328,2958
4888011,467.7,312.75,461.62,307.875,-1668,605,-1733,555,3332,2961
4888013,467.54,313.425,461.62,307.65,-1669,612,-1732,553,3333,2956
4888015,468.26,313.95,461.86,307.125,-1662,618,-1730,547,3327,2959
4888017,467.3,311.925,461.7,306.6,-1672,597,-1731,541,3324,2966
4888019,468.82,311.55,461.7,305.775,-1656,591,-1731,532,3316,2957
4888021,468.18,312.3,462.02,306.375,-1663,600,-1727,539,3322,2952
4888023,468.26,311.175,461.62,304.95,-1662,588,-1732,524,3314,2959
4888025,468.26,313.5,461.94,306.75,-1660,613,-1727,543,3323,2953
4888027,469.06,311.025,462.82,305.1,-1653,586,-1719,525,3307,2952
4888029,468.9,311.4,462.18,306.675,-1654,590,-1725,542,3309,2956
4888031,468.9,311.925,462.58,304.575,-1654,596,-1721,520,3312,2956
4888033,468.82,312.975,462.42,305.475,-1653,607,-1721,529,3315,2947
4888035,469.06,311.85,462.9,304.875,-1652,595,-1716,523,3315,2949
4888037,469.22,313.05,462.34,307.275,-1649,608,-1721,549,3318,2952
4888039,469.22,313.8,462.5,306.075,-1649,615,-1720,535,3314,2947
4888041,469.06,313.5,462.42,308.475,-1649,613,-1719,562,3316,2950
4888043,469.62,312.975,462.58,309.3,-1643,607,-1717,570,3318,2949
4888045,469.38,315.375,461.86,309.9,-1644,632,-1723,577,3328,2949
4888047,469.78,314.475,463.22,308.55,-1640,623,-1709,562,3326,2949
4888049,469.62,315.075,462.34,309.3,-1641,629,-1717,570,3321,2941
4888051,469.62,314.55,462.82,309.225,-1640,624,-1712,570,3325,2941
4888053,469.62,314.175,463.3,309.975,-1639,620,-1705,577,3321,2946
4888055,469.3,313.95,462.42,309.15,-1642,618,-1715,569,3320,2942
4888057,470.02,315.075,462.66,309.6,-1633,630,-1711,574,3321,2944
4888059,469.86,313.725,462.98,310.575,-1636,616,-1708,584,3317,2955
4888061,469.54,314.25,461.94,309.525,-1638,621,-1717,574,3322,2948
4888063,470.1,313.425,462.98,309.225,-1632,613,-1706,570,3317,2940
4888065,469.7,312.975,462.82,309.375,-1635,608,-1706,572,3312,2950
4888067,470.26,313.125,462.66,306.9,-1628,610,-1709,545,3313,2940
4888069,470.26,311.7,462.74,308.85,-1628,595,-1706,567,3309,2952
4888071,470.34,311.325,462.58,306.825,-1627,591,-1708,545,3306,2943
4888073,470.34,311.55,461.7,308.25,-1625,593,-1715,561,3306,2952
4888075,470.82,311.25,462.98,305.625,-1620,590,-1702,533,3312,2939
4888077,470.1,311.1,463.14,307.425,-1626,588,-1699,552,3310,2948
4888079,470.26,310.8,461.86,308.55,-1625,585,-1712,564,3315,2943
4888081,470.1,311.775,461.86,307.5,-1624,596,-1711,552,3317,2947
4888083,470.74,310.725,462.34,305.925,-1618,584,-1706,536,3309,2946
