Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
7784019,462.66,318.9,460.34,317.7,519,3046,494,3031,687,875
7784021,462.98,318.675,460.58,316.95,522,3043,497,3022,687,878
7784023,462.42,318.75,460.26,317.4,515,3043,492,3027,687,882
7784025,461.62,319.575,460.82,316.95,507,3052,499,3022,688,884
7784027,462.34,318.975,460.26,317.25,514,3046,493,3026,691,882
7784029,462.1,319.275,460.5,317.25,512,3049,495,3026,691,885
7784031,462.26,319.875,460.26,317.25,511,3057,492,3026,690,884
7784033,462.5,319.125,460.5,316.875,515,3048,495,3022,691,887
7784035,461.7,319.8,460.82,317.325,505,3055,497,3027,691,887
7784037,462.18,319.65,461.14,316.425,511,3054,501,3017,692,888
7784039,462.82,318.975,461.94,316.725,517,3047,509,3021,692,888
7784041,462.18,318.75,461.46,317.1,511,3044,504,3025,694,888
7784043,462.5,319.425,461.54,316.875,513,3052,504,3023,693,888
7784045,463.54,320.775,461.22,317.4,523,3068,500,3029,692,888
7784047,462.26,319.875,462.1,317.025,510,3057,510,3025,694,890
7784049,462.34,319.8,462.02,316.875,510,3056,508,3023,695,892
7784051,462.5,319.65,461.94,317.625,512,3055,507,3031,697,892
7784053,462.98,320.4,461.46,317.25,517,3064,502,3027,695,891
7784055,463.38,320.025,461.54,317.775,520,3059,501,3034,696,890
7784057,462.98,320.85,462.26,317.475,515,3069,510,3030,697,893
7784059,462.66,319.95,462.1,317.325,511,3058,507,3029,700,894
7784061,462.98,321.075,462.5,317.025,515,3072,512,3026,697,894
7784063,462.5,320.475,462.66,316.875,509,3065,512,3024,700,896
7784065,462.82,320.775,462.1,317.475,512,3068,506,3031,701,895
7784067,463.06,321.525,462.18,318.3,513,3078,505,3041,699,894
7784069,463.3,321.075,463.14,317.85,516,3073,516,3036,702,896
7784071,462.82,321.6,462.1,317.925,510,3078,504,3037,700,895
7784073,463.22,322.2,462.82,318.075,514,3086,512,3039,704,898
7784075,463.14,321.3,463.06,318.375,513,3075,514,3043,701,902
7784077,462.42,321.225,462.02,318.225,505,3075,503,3041,702,897
7784079,462.66,321.6,462.58,318,507,3080,508,3039,701,899
7784081,462.18,321.075,462.26,316.725,502,3073,505,3025,704,898
7784083,462.5,320.925,462.34,316.35,506,3072,506,3020,701,899
7784085,462.5,320.85,462.9,315.975,505,3071,512,3016,703,901
7784087,462.58,319.575,463.06,314.925,507,3057,515,3005,701,902
7784089,462.42,318.75,462.82,315,505,3047,512,3005,699,901
7784091,462.98,319.275,462.74,314.4,510,3054,511,2999,700,904
7784093,461.78,318.975,462.1,314.325,498,3050,504,2998,701,907
7784095,462.26,318.6,463.06,314.325,503,3045,514,2998,698,906
7784097,462.5,318.825,462.1,314.1,506,3048,504,2995,701,906
7784099,462.5,317.55,462.26,312.9,506,3034,506,2982,699,906
7784101,463.06,316.95,462.18,313.575,513,3027,505,2989,696,908
7784103,462.58,316.575,462.98,312.825,508,3022,514,2980,700,906
7784105,463.06,315.75,462.34,312.675,513,3014,507,2978,700,906
7784107,462.9,315.6,462.34,312.075,511,3011,508,2972,699,911
7784109,463.62,315.6,463.14,312.075,519,3012,516,2972,701,911
7784111,462.66,315.375,462.82,312.225,510,3009,513,2973,704,910
7784113,462.74,315.9,462.58,313.2,510,3014,510,2984,703,908
7784115,462.5,317.925,462.58,313.425,507,3037,510,2986,697,909
7784117,462.66,316.95,462.9,314.325,510,3026,513,2997,703,912
7784119,463.06,317.1,463.62,315.6,514,3028,521,3011,705,912
7784121,464.02,317.1,462.98,316.05,524,3028,514,3016,705,914
7784123,463.46,318.075,462.98,316.875,518,3039,514,3025,703,913
7784125,463.46,318.45,462.82,318.6,518,3043,512,3045,703,915
