Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
10477631,454.74,290.475,473.22,295.2,-507,1893,-306,1943,543,684
10477633,453.46,297.225,471.62,302.1,-506,1880,-309,1932,542,686
10477635,451.86,295.725,472.18,302.775,-523,1863,-303,1940,546,689
10477637,453.06,296.925,471.86,301.2,-510,1877,-306,1923,543,688
10477639,454.58,296.775,471.54,302.625,-494,1876,-310,1939,545,690
10477641,454.34,296.475,471.46,304.125,-497,1872,-311,1955,541,691
10477643,455.06,297.6,471.22,303.825,-489,1885,-314,1953,542,695
10477645,452.58,297.45,471.38,304.05,-516,1883,-313,1955,544,694
10477647,452.1,298.65,471.14,304.575,-522,1897,-316,1961,539,693
10477649,452.58,298.875,470.9,306.15,-517,1900,-318,1979,542,691
10477651,451.86,301.275,470.74,307.575,-525,1928,-320,1996,542,693
10477653,452.18,300.375,470.42,310.65,-521,1918,-325,2030,545,698
10477655,451.86,301.8,469.94,312.525,-526,1935,-330,2052,543,696
10477657,452.74,304.05,469.86,313.275,-516,1960,-331,2061,551,698
10477659,452.42,306.975,469.06,313.8,-520,1994,-340,2068,556,697
10477661,452.82,306.825,469.86,315.975,-517,1992,-332,2092,555,699
10477663,452.58,309.675,470.34,317.475,-519,2026,-327,2111,558,698
10477665,452.18,309.525,470.42,317.775,-524,2024,-326,2114,559,701
10477667,451.54,310.575,470.18,318.3,-532,2038,-330,2122,556,701
10477669,451.7,310.8,470.5,319.575,-530,2041,-326,2137,558,701
10477671,452.1,312.75,470.18,319.95,-527,2065,-331,2143,556,701
10477673,451.06,312.9,469.62,320.55,-538,2066,-337,2150,561,701
10477675,451.54,313.65,469.94,320.775,-534,2078,-334,2155,560,701
10477677,451.06,314.175,469.38,320.025,-539,2084,-340,2147,561,702
10477679,451.14,314.55,469.54,320.325,-539,2090,-339,2153,561,702
10477681,451.7,313.425,468.82,320.625,-533,2078,-348,2156,561,701
10477683,451.62,313.8,469.06,319.875,-535,2085,-346,2150,562,706
10477685,451.3,313.125,469.3,320.1,-538,2077,-343,2153,566,705
10477687,450.9,313.35,469.46,319.725,-544,2082,-342,2152,562,703
10477689,451.3,311.925,469.3,319.425,-539,2066,-344,2148,566,707
10477691,451.7,311.55,469.86,317.85,-536,2064,-339,2133,563,706
10477693,451.54,310.575,469.7,317.325,-537,2053,-341,2126,562,706
10477695,452.02,310.35,468.74,316.2,-533,2052,-352,2116,564,708
10477697,450.74,309.975,468.98,315.975,-547,2048,-349,2113,558,709
10477699,452.02,308.775,468.74,315.375,-534,2036,-353,2108,560,706
10477701,452.82,308.775,469.14,313.5,-526,2035,-348,2086,562,709
10477703,452.42,307.125,469.38,313.575,-531,2018,-347,2088,560,710
10477705,453.14,305.1,469.22,312.9,-522,1995,-349,2080,559,707
10477707,452.42,305.7,469.54,310.8,-531,2001,-346,2056,561,707
10477709,453.78,304.575,469.06,308.175,-516,1989,-351,2027,559,713
10477711,453.22,303.075,469.14,307.8,-523,1972,-351,2022,559,712
10477713,452.82,301.65,469.78,307.575,-527,1956,-344,2020,560,712
10477715,453.22,301.275,469.7,306.525,-523,1950,-344,2006,557,717
10477717,453.46,299.85,469.78,306,-520,1934,-344,2000,562,713
10477719,452.98,298.875,469.78,305.4,-526,1920,-344,1992,558,718
10477721,454.66,299.1,469.7,305.025,-508,1923,-345,1987,564,718
10477723,453.78,299.175,471.14,304.425,-517,1921,-330,1978,561,719
10477725,453.62,299.55,470.18,305.475,-519,1925,-340,1989,562,719
10477727,454.42,298.05,470.26,304.875,-510,1906,-340,1980,560,721
10477729,454.02,298.275,469.78,304.65,-515,1909,-344,1977,562,723
10477731,452.98,297.225,470.1,305.4,-526,1894,-340,1983,554,721
10477733,455.38,300.975,470.74,305.7,-501,1936,-333,1986,567,719
10477735,455.14,301.2,470.42,307.575,-502,1935,-337,2004,565,717
10477737,454.5,301.8,470.58,306.375,-510,1942,-335,1991,568,718
10477739,455.06,303.15,470.34,307.725,-503,1955,-338,2004,569,719
10477741,454.98,304.2,471.3,308.85,-504,1966,-327,2016,569,717
10477743,455.3,303.675,471.62,309.45,-500,1958,-323,2020,570,719
10477745,455.54,304.425,471.62,310.5,-497,1967,-323,2032,568,723
10477747,455.3,305.025,471.94,311.625,-498,1972,-318,2043,569,721
10477749,455.94,306.075,472.02,312.15,-491,1983,-318,2050,572,723
10477751,455.54,305.775,472.18,314.175,-495,1979,-315,2071,575,719
10477753,455.86,306.9,471.78,313.125,-492,1991,-319,2059,575,725
10477755,455.46,309.6,471.46,314.325,-495,2021,-321,2072,569,722
10477757,455.62,308.85,471.7,315.75,-493,2012,-319,2088,572,718
10477759,456.74,309.675,471.14,315.525,-479,2022,-324,2085,574,721
10477761,455.46,310.575,471.62,316.2,-494,2032,-319,2092,574,718
10477763,456.82,309.9,471.54,316.575,-478,2024,-318,2097,577,722
10477765,456.66,311.55,471.14,317.325,-480,2043,-323,2106,575,722
10477767,455.54,309.975,471.86,316.725,-490,2027,-314,2100,577,723
10477769,456.66,311.025,471.62,317.25,-478,2038,-316,2106,578,722
10477771,456.58,310.95,472.1,316.65,-477,2039,-310,2100,583,722
10477773,455.94,312.075,471.54,317.7,-484,2052,-315,2113,578,722
10477775,457.3,310.8,471.46,317.175,-468,2039,-315,2109,582,720
10477777,457.94,310.875,472.26,317.25,-461,2040,-306,2109,585,721
10477779,458.26,312.375,472.5,316.425,-456,2059,-302,2102,584,722
10477781,456.66,311.25,472.5,317.1,-474,2046,-302,2110,581,723
10477783,458.42,310.35,472.26,318.3,-453,2038,-303,2125,586,722
10477785,457.86,311.925,472.26,317.475,-459,2056,-303,2116,594,724
10477787,458.02,311.25,472.1,316.8,-455,2050,-303,2110,590,724
10477789,458.9,311.625,472.18,317.55,-446,2054,-303,2119,588,722
10477791,458.34,311.25,472.1,316.65,-451,2052,-303,2111,589,731
10477793,458.1,311.175,472.74,315.975,-453,2052,-296,2103,590,727
10477795,457.94,310.875,471.62,316.8,-454,2050,-306,2114,592,726
10477797,457.86,311.925,471.86,316.05,-456,2062,-303,2106,589,729
10477799,458.1,313.05,471.7,316.35,-452,2076,-305,2111,589,726
10477801,457.62,309.45,471.3,316.05,-457,2036,-309,2108,589,728
10477803,459.3,310.5,471.78,315.45,-438,2049,-302,2103,590,731
10477805,458.02,311.175,471.54,314.85,-452,2056,-305,2096,592,733
10477807,457.86,310.875,471.22,316.35,-453,2055,-308,2114,590,732
10477809,458.1,310.725,471.7,315,-450,2053,-303,2099,591,732
10477811,458.66,311.175,470.58,315.825,-444,2059,-314,2109,589,730
10477813,458.66,310.425,471.38,315.75,-444,2051,-306,2109,589,730
10477815,458.02,311.175,471.94,315.9,-451,2060,-300,2111,593,734
10477817,458.34,311.7,471.7,315.9,-447,2065,-302,2111,592,733
10477819,459.38,310.275,470.66,316.275,-436,2050,-314,2116,590,735
10477821,457.06,310.275,471.22,318.225,-461,2051,-308,2138,594,737
10477823,457.3,311.4,470.18,317.7,-458,2064,-318,2133,593,736
10477825,457.54,311.025,470.66,317.55,-455,2060,-313,2131,593,737
10477827,457.62,311.4,469.38,318.675,-455,2065,-328,2144,591,736
10477829,458.34,311.475,469.06,319.275,-447,2066,-331,2151,596,738
10477831,456.9,312.675,469.46,318.45,-463,2079,-327,2143,593,738
10477833,456.34,312.075,468.42,319.275,-469,2073,-339,2152,591,743
10477835,456.5,310.95,468.66,318.975,-468,2061,-337,2149,596,742
10477837,457.06,311.925,468.5,319.725,-462,2072,-339,2158,595,741
10477839,457.3,313.05,469.14,320.7,-460,2085,-333,2169,599,743
10477841,456.66,313.425,467.94,322.35,-468,2089,-346,2188,596,744
10477843,456.42,314.925,468.42,321.3,-471,2107,-341,2176,594,743
10477845,457.22,312.525,468.5,321.225,-462,2080,-341,2176,597,746
10477847,456.1,313.125,467.78,321.975,-476,2087,-349,2185,597,747
10477849,457.14,312.375,468.34,321.075,-464,2079,-343,2174,598,748
10477851,457.7,312.45,468.34,322.35,-459,2080,-344,2189,599,746
10477853,455.46,314.55,468.58,321.075,-484,2104,-342,2174,600,746
10477855,457.46,313.8,468.34,321.675,-463,2095,-346,2182,598,748
10477857,456.66,312.45,468.1,321.525,-472,2080,-349,2181,604,745
10477859,457.38,312.6,467.94,319.5,-465,2082,-351,2158,602,744
10477861,457.22,311.325,468.26,320.25,-467,2068,-348,2166,603,749
10477863,456.82,312.6,468.34,321.15,-474,2083,-349,2177,603,746
10477865,456.26,311.25,468.18,318.675,-479,2068,-350,2149,603,748
10477867,456.42,312.075,468.26,319.2,-479,2077,-351,2155,601,746
10477869,457.7,312,468.5,319.275,-465,2076,-348,2156,602,746
10477871,457.86,310.35,468.66,319.05,-465,2058,-348,2153,605,749
10477873,457.38,311.55,468.18,316.725,-470,2071,-353,2127,603,750
10477875,458.58,310.875,468.98,317.775,-459,2063,-346,2139,602,752
10477877,457.62,311.1,468.26,317.25,-469,2066,-354,2133,603,753
10477879,456.34,311.325,468.82,316.05,-484,2068,-349,2119,603,748
10477881,457.54,311.475,469.06,315.75,-471,2069,-346,2116,609,755
10477883,456.74,312,468.66,318.075,-481,2075,-353,2141,606,757
10477885,457.62,310.8,469.06,317.85,-472,2061,-348,2139,608,757
10477887,456.18,311.4,468.34,317.925,-489,2068,-358,2139,608,756
10477889,456.1,311.1,467.62,317.55,-489,2064,-365,2135,612,762
10477891,456.1,310.875,468.26,318.45,-491,2061,-359,2144,609,760
