Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
5484664,428.18,224.85,391.14,219,-268,3066,-674,3030,1457,1470
5484666,448.1,236.55,410.9,230.925,-271,3053,-678,3016,1455,1469
5484668,447.3,237,410.34,231.675,-279,3058,-684,3025,1456,1463
5484670,447.22,236.25,410.34,231.225,-281,3050,-684,3020,1462,1468
5484672,447.22,237.675,411.06,231.6,-280,3066,-676,3024,1459,1465
5484674,448.34,237.6,410.9,230.25,-268,3064,-679,3008,1455,1470
5484676,447.94,237.975,411.14,230.925,-273,3068,-676,3016,1458,1471
5484678,447.94,237.075,410.98,231.675,-273,3058,-678,3024,1455,1472
5484680,447.78,237.975,411.22,231.825,-275,3068,-675,3026,1455,1465
5484682,448.1,238.425,411.38,232.8,-271,3074,-673,3037,1455,1469
5484684,447.38,238.8,412.1,233.1,-279,3078,-665,3040,1457,1474
5484686,447.3,239.625,411.38,233.475,-280,3088,-673,3045,1457,1467
5484688,447.14,239.475,412.42,233.775,-282,3086,-662,3047,1463,1467
5484690,446.82,240.6,412.66,233.925,-284,3099,-659,3049,1457,1468
5484692,446.42,241.05,412.82,235.95,-288,3105,-657,3072,1457,1462
5484694,446.98,241.05,414.18,235.65,-282,3105,-642,3067,1459,1464
5484696,447.06,241.05,414.58,235.875,-282,3105,-638,3070,1459,1465
5484698,446.58,241.05,415.38,236.325,-287,3105,-629,3075,1457,1465
5484700,446.5,241.875,415.22,237.75,-288,3115,-630,3091,1456,1461
5484702,447.06,241.725,415.78,237.225,-282,3113,-624,3085,1460,1463
5484704,446.42,241.725,415.3,237.525,-289,3114,-630,3089,1458,1463
5484706,446.74,242.025,415.7,238.05,-285,3117,-625,3095,1460,1462
5484708,446.74,242.55,415.54,237.675,-286,3123,-628,3091,1459,1461
5484710,446.42,241.95,415.54,238.35,-290,3117,-627,3099,1455,1463
5484712,447.06,241.95,416.1,238.5,-283,3118,-621,3101,1458,1460
5484714,446.82,242.175,416.1,238.125,-285,3120,-622,3097,1456,1459
5484716,447.06,241.125,416.5,238.725,-284,3109,-617,3104,1456,1461
5484718,446.58,242.175,416.58,238.275,-288,3121,-616,3099,1455,1460
5484720,447.22,242.25,417.06,237.525,-282,3122,-612,3090,1459,1462
5484722,446.9,241.275,416.5,238.05,-286,3111,-618,3097,1454,1461
5484724,447.38,241.725,417.86,238.35,-281,3117,-603,3100,1455,1460
5484726,446.74,241.725,417.86,238.05,-287,3117,-603,3097,1451,1458
5484728,446.98,242.25,417.7,239.025,-284,3123,-605,3108,1455,1454
5484730,446.82,242.55,417.7,237.825,-286,3127,-605,3095,1455,1459
5484732,447.38,242.175,418.66,238.8,-279,3123,-593,3106,1451,1457
5484734,447.38,242.775,418.34,237.975,-279,3129,-598,3096,1453,1460
5484736,446.82,243.225,419.46,238.575,-285,3136,-585,3103,1453,1458
5484738,446.74,242.7,419.3,239.025,-287,3130,-587,3108,1454,1454
5484740,447.54,242.175,419.3,238.8,-278,3124,-587,3107,1454,1454
5484742,446.26,242.625,418.98,238.2,-291,3130,-590,3100,1449,1459
5484744,446.66,242.625,420.1,238.8,-287,3130,-578,3106,1446,1453
5484746,446.82,242.4,420.26,238.65,-286,3128,-576,3105,1450,1450
5484748,446.66,243.6,419.7,238.95,-286,3142,-582,3109,1450,1453
5484750,446.02,242.7,420.1,238.725,-294,3132,-577,3106,1453,1455
5484752,446.18,243.15,419.94,238.65,-292,3137,-579,3106,1450,1451
5484754,446.26,242.775,420.02,238.95,-291,3133,-578,3109,1450,1453
5484756,446.02,243.3,420.1,239.1,-293,3139,-577,3111,1450,1452
5484758,445.78,243.375,419.62,239.475,-296,3140,-582,3115,1448,1456
5484760,445.78,243.3,420.42,239.175,-295,3139,-573,3111,1448,1452
5484762,445.46,242.85,420.02,239.55,-299,3134,-577,3116,1452,1453
5484764,445.38,243.15,419.86,239.475,-299,3138,-578,3115,1446,1451
5484766,445.14,243,420.1,240.225,-301,3137,-575,3124,1448,1449
5484768,445.22,243.075,420.18,239.85,-300,3138,-574,3120,1450,1449
5484770,445.46,243.225,420.66,239.85,-298,3139,-569,3119,1449,1450
5484772,444.58,244.05,419.86,240.6,-306,3150,-577,3129,1450,1448
5484774,444.34,243.825,419.86,240.9,-309,3148,-576,3133,1447,1449
5484776,444.34,243.225,419.94,240.825,-309,3141,-575,3132,1445,1446
5484778,445.06,244.125,420.18,240.225,-301,3151,-573,3125,1453,1451
5484780,444.58,244.05,420.74,240.15,-305,3151,-566,3124,1449,1447
5484782,444.1,243.525,420.26,240.75,-311,3146,-572,3131,1446,1446
5484784,444.42,244.05,420.5,240.75,-306,3151,-568,3131,1452,1446
5484786,444.42,243.75,420.74,241.125,-307,3148,-565,3136,1444,1442
5484788,444.42,244.275,420.9,240.675,-306,3154,-563,3131,1446,1446
5484790,444.82,243.825,421.06,240.225,-301,3149,-561,3126,1448,1449
5484792,445.14,244.575,420.58,240.075,-297,3157,-566,3125,1445,1449
5484794,445.38,243.75,421.38,241.125,-295,3148,-556,3136,1446,1448
5484796,445.06,244.875,421.22,241.125,-296,3161,-557,3136,1446,1445
5484798,445.86,244.275,421.38,240.3,-288,3154,-556,3127,1445,1448
5484800,444.82,245.4,420.98,240.75,-297,3167,-559,3133,1445,1447
5484802,445.86,245.1,421.06,241.35,-286,3164,-558,3139,1446,1446
5484804,445.78,245.25,421.3,241.425,-286,3166,-554,3141,1443,1443
5484806,445.22,245.4,421.3,242.25,-292,3168,-554,3150,1443,1443
5484808,445.78,245.25,421.3,240.45,-285,3166,-554,3130,1443,1447
