Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
5611154,469.78,227.025,460.58,229.725,-23,3471,-119,3509,1313,1450
5611156,469.38,227.85,461.06,229.35,-25,3481,-114,3505,1315,1454
5611158,469.7,226.275,460.82,229.2,-23,3463,-117,3503,1318,1454
5611160,469.94,227.55,460.58,228.75,-19,3477,-119,3498,1316,1455
5611162,469.78,227.025,460.34,229.35,-22,3471,-122,3505,1319,1455
5611164,470.02,226.575,459.94,229.05,-20,3466,-127,3502,1316,1452
5611166,470.9,226.35,460.02,228.675,-11,3462,-126,3498,1313,1455
5611168,470.18,227.1,460.5,229.125,-18,3471,-120,3502,1316,1455
5611170,470.66,227.025,460.58,229.125,-12,3470,-120,3502,1312,1455
5611172,471.06,226.95,460.82,228.375,-9,3469,-118,3493,1316,1456
5611174,470.5,227.1,460.1,229.05,-14,3471,-125,3501,1314,1455
5611176,470.74,226.5,460.1,228.45,-13,3464,-126,3495,1314,1454
5611178,470.66,225.675,460.18,228.45,-14,3455,-125,3495,1313,1457
5611180,470.58,226.65,460.18,228.9,-15,3466,-125,3500,1315,1453
5611182,470.66,227.025,459.94,228.675,-14,3470,-128,3497,1317,1456
5611184,469.46,226.575,459.62,229.275,-28,3465,-132,3504,1316,1454
5611186,469.78,226.65,460.26,229.2,-24,3467,-125,3503,1311,1457
5611188,470.18,227.1,459.54,229.275,-20,3471,-133,3504,1313,1457
5611190,469.22,226.725,458.98,229.575,-31,3467,-139,3508,1314,1457
5611192,468.42,227.4,459.7,229.35,-40,3476,-132,3505,1314,1458
5611194,469.46,227.475,458.58,229.575,-28,3475,-144,3508,1313,1458
5611196,468.42,227.85,458.1,229.725,-40,3480,-150,3510,1317,1459
5611198,468.42,227.4,458.42,229.875,-41,3475,-146,3511,1312,1458
5611200,468.5,227.25,457.62,230.7,-41,3474,-156,3521,1314,1459
5611202,468.26,228.15,456.9,229.95,-43,3483,-164,3513,1314,1463
5611204,467.86,227.55,456.98,230.55,-49,3477,-164,3520,1314,1460
5611206,468.1,227.85,457.22,230.025,-46,3481,-162,3514,1314,1462
5611208,468.34,227.25,456.98,230.775,-46,3474,-166,3522,1312,1456
5611210,467.78,227.25,456.66,231.15,-52,3474,-169,3527,1312,1457
5611212,467.54,227.925,456.82,230.325,-55,3482,-170,3518,1313,1458
5611214,467.94,227.1,455.62,230.55,-52,3473,-182,3521,1308,1455
5611216,467.54,227.625,455.7,230.25,-57,3479,-183,3518,1314,1454
5611218,467.46,227.175,456.26,230.325,-58,3473,-177,3518,1311,1458
5611220,467.46,227.775,456.1,230.625,-59,3480,-180,3521,1309,1453
5611222,467.3,227.775,455.62,230.4,-61,3481,-185,3519,1310,1459
5611224,467.54,228.3,455.46,230.55,-60,3486,-189,3522,1309,1458
5611226,467.3,227.775,454.1,230.1,-63,3480,-204,3518,1309,1458
5611228,467.38,227.55,454.98,230.325,-63,3479,-195,3520,1311,1457
5611230,467.3,228,454.82,230.55,-64,3483,-196,3522,1309,1458
5611232,467.38,228.075,454.9,230.025,-64,3485,-197,3517,1307,1455
5611234,467.14,228.075,455.14,230.7,-66,3485,-194,3524,1311,1459
5611236,467.54,228.45,454.74,231,-63,3489,-199,3528,1311,1455
5611238,467.7,227.775,454.82,229.95,-62,3481,-199,3516,1310,1456
5611240,467.38,228.45,454.74,230.85,-65,3490,-200,3527,1310,1456
5611242,467.78,228.675,455.22,230.85,-61,3492,-195,3527,1311,1457
5611244,467.22,228.45,454.82,230.25,-68,3491,-200,3521,1311,1455
5611246,467.54,228.675,455.3,231.15,-64,3493,-195,3531,1311,1459
5611248,467.54,228.375,455.38,231.375,-65,3490,-194,3533,1310,1456
5611250,466.98,229.8,454.9,231.825,-70,3506,-199,3539,1307,1457
5611252,467.22,229.35,455.62,232.425,-68,3502,-191,3546,1310,1464
5611254,467.38,229.5,455.22,231.3,-67,3503,-197,3533,1310,1455
5611256,467.06,229.95,455.3,232.05,-69,3509,-195,3543,1309,1456
5611258,467.46,230.175,455.94,231.825,-65,3511,-189,3540,1312,1459
5611260,467.78,230.55,455.46,231.9,-62,3516,-194,3542,1308,1455
5611262,467.54,230.55,455.38,233.25,-64,3517,-193,3558,1309,1460
5611264,467.78,230.475,455.78,233.025,-62,3517,-189,3556,1310,1462
5611266,468.74,231.15,456.9,232.725,-51,3524,-178,3551,1309,1465
5611268,467.86,231.15,456.34,233.775,-60,3526,-182,3565,1315,1467
5611270,468.5,231.3,456.98,234.15,-53,3526,-176,3568,1313,1460
5611272,468.42,230.7,456.74,232.5,-54,3521,-179,3551,1309,1459
5611274,469.14,230.925,456.74,231.975,-46,3524,-179,3545,1314,1456
5611276,468.66,230.4,456.98,232.875,-51,3519,-175,3556,1309,1458
5611278,469.78,231.75,456.9,232.2,-39,3533,-177,3549,1310,1454
5611280,469.78,230.7,457.06,233.775,-39,3523,-174,3568,1314,1461
5611282,469.54,230.1,455.94,233.25,-42,3516,-186,3563,1311,1454
5611284,468.82,230.775,457.06,232.725,-48,3525,-174,3557,1309,1454
5611286,470.1,231,457.3,232.575,-35,3527,-171,3555,1315,1455
5611288,470.42,230.85,457.06,233.1,-31,3526,-173,3562,1314,1454
5611290,470.66,230.7,457.46,232.65,-28,3524,-169,3557,1313,1460
5611292,470.34,231.225,457.14,233.55,-31,3531,-171,3569,1316,1460
5611294,471.22,230.25,458.18,233.625,-22,3520,-160,3569,1315,1461
5611296,471.38,230.475,457.94,232.5,-18,3524,-162,3557,1315,1460
5611298,471.38,230.7,457.86,233.1,-19,3526,-162,3564,1317,1457
5611300,471.3,230.7,458.74,232.35,-18,3527,-152,3556,1316,1458
5611302,471.94,230.55,457.7,232.425,-12,3525,-164,3558,1317,1454
5611304,471.46,230.25,458.98,231.9,-15,3523,-148,3552,1315,1455
5611306,471.22,231.225,457.86,232.5,-17,3534,-160,3559,1312,1461
5611308,470.9,230.1,458.18,232.8,-20,3522,-155,3563,1313,1457
5611310,471.38,230.7,458.42,232.125,-14,3528,-153,3555,1311,1458
5611312,471.54,230.775,458.58,233.175,-10,3530,-149,3568,1311,1459
5611314,471.14,230.925,458.82,233.325,-15,3532,-146,3569,1307,1461
5611316,470.9,231,458.42,231.9,-16,3533,-150,3554,1304,1459
5611318,471.62,230.25,458.74,233.25,-9,3524,-145,3569,1310,1460
5611320,472.26,229.5,459.06,232.725,0,3516,-140,3563,1305,1462
5611322,472.1,230.325,458.66,231.975,-2,3526,-146,3555,1312,1457
5611324,472.26,229.65,459.46,232.725,1,3517,-134,3563,1313,1464
5611326,472.1,229.95,457.86,232.05,0,3521,-152,3557,1318,1465
5611328,472.18,229.5,458.02,230.625,1,3516,-150,3541,1314,1460
5611330,471.38,227.025,457.46,228.6,-8,3489,-158,3518,1315,1462
5611332,470.5,224.775,455.46,226.875,-18,3465,-179,3501,1315,1459
5611334,468.02,220.575,452.26,221.55,-48,3420,-218,3444,1312,1460
5611336,466.34,213.525,447.7,212.4,-70,3342,-272,3344,1312,1472
5611338,463.14,200.925,442.98,200.1,-113,3205,-332,3212,1316,1453
5611340,458.58,190.725,438.34,188.85,-169,3095,-388,3090,1311,1454
5611342,456.18,177.3,433.54,176.1,-204,2947,-448,2952,1311,1454
5611344,453.86,164.475,428.66,161.925,-237,2807,-509,2799,1307,1442
5611346,453.22,152.4,424.66,153.75,-253,2676,-558,2712,1298,1437
5611348,451.3,141.675,421.38,144.15,-280,2559,-599,2609,1289,1426
5611350,450.66,133.575,419.62,132.6,-292,2471,-625,2484,1290,1422
5611352,451.06,126.3,417.62,127.8,-293,2391,-649,2432,1286,1420
5611354,451.78,121.35,415.54,124.275,-288,2336,-673,2395,1280,1423
5611356,452.5,118.05,413.38,120.9,-283,2299,-698,2360,1277,1423
5611358,452.74,115.8,411.62,120.075,-282,2275,-718,2352,1278,1422
5611360,452.26,115.125,410.1,118.275,-286,2268,-734,2333,1279,1422
5611362,451.54,114.9,408.74,117.525,-294,2266,-749,2326,1275,1420
5611364,450.34,114.825,406.42,117.225,-306,2266,-774,2324,1279,1419
5611366,449.86,116.625,405.78,117.75,-310,2286,-781,2330,1276,1420
5611368,449.06,118.5,405.78,120,-317,2307,-778,2355,1276,1422
5611370,448.82,120.9,406.66,122.85,-317,2333,-767,2386,1275,1428
5611372,449.14,123.3,407.38,125.175,-312,2359,-758,2411,1282,1418
5611374,448.58,127.95,409.14,126.9,-315,2410,-738,2428,1285,1429
5611376,448.26,130.05,410.5,128.25,-317,2434,-723,2442,1286,1429
5611378,447.54,130.575,411.38,129.75,-325,2440,-712,2458,1286,1428
5611380,446.98,132.075,411.7,128.025,-330,2457,-710,2439,1288,1429
5611382,446.5,131.1,411.78,128.25,-336,2447,-709,2441,1290,1431
5611384,445.22,130.725,412.18,127.35,-349,2444,-706,2432,1287,1426
5611386,444.58,130.05,411.62,126.975,-357,2438,-712,2428,1293,1426
5611388,443.78,129.375,412.02,126,-367,2431,-708,2418,1288,1429
5611390,443.7,129.225,411.7,125.925,-367,2429,-712,2417,1288,1429
5611392,443.86,128.775,411.78,125.475,-366,2425,-712,2412,1288,1429
5611394,443.46,128.25,411.7,124.575,-371,2419,-714,2403,1293,1432
5611396,443.46,127.95,411.14,124.35,-372,2417,-720,2401,1292,1432
5611398,443.14,127.875,411.54,124.125,-375,2416,-716,2399,1291,1434
5611400,443.06,126.45,411.62,124.125,-378,2401,-716,2399,1293,1434
5611402,442.9,126.975,412.02,123.525,-379,2407,-712,2392,1289,1434
5611404,442.5,126.9,411.86,124.275,-384,2407,-714,2401,1292,1433
5611406,442.82,127.2,411.46,123.675,-380,2410,-719,2395,1292,1434
5611408,442.42,126.675,411.62,124.125,-386,2404,-717,2399,1290,1430
5611410,442.26,126.15,412.02,123.6,-388,2399,-713,2394,1287,1434
5611412,442.18,126.225,412.5,123.525,-389,2400,-708,2392,1290,1431
5611414,442.74,125.025,411.54,123.225,-384,2386,-719,2390,1288,1431
5611416,442.18,125.55,411.78,123.3,-390,2393,-716,2390,1289,1432
5611418,442.34,125.25,411.86,122.85,-388,2389,-716,2386,1290,1433
5611420,441.94,126.525,412.1,123.375,-392,2403,-714,2391,1287,1433
5611422,442.26,125.1,412.1,123.825,-390,2387,-714,2396,1288,1432
5611424,442.18,126.6,412.18,123.075,-390,2404,-714,2388,1293,1433
5611426,441.94,126.3,412.58,123.3,-393,2400,-709,2390,1292,1437
5611428,442.66,125.85,412.82,123.525,-386,2394,-706,2391,1293,1437
5611430,442.1,126,412.98,123.225,-391,2397,-705,2388,1295,1436
5611432,441.78,126.15,412.82,123.6,-395,2398,-707,2392,1292,1435
5611434,441.86,125.55,412.58,123.15,-395,2392,-710,2387,1289,1435
5611436,442.1,126,412.98,123,-391,2396,-705,2385,1293,1439
5611438,441.86,125.85,412.74,123.3,-394,2394,-707,2388,1291,1436
5611440,442.42,126.375,413.14,123.975,-388,2400,-703,2395,1293,1437
5611442,442.1,126.75,413.06,123.675,-391,2403,-704,2391,1295,1435
5611444,441.46,126.9,412.66,124.2,-398,2405,-708,2398,1291,1433
5611446,441.94,126.45,413.3,123.75,-393,2400,-701,2392,1291,1437
5611448,442.34,125.85,413.06,124.575,-389,2392,-703,2401,1291,1432
5611450,441.78,126.45,412.5,123.975,-394,2400,-709,2394,1291,1433
5611452,442.26,125.475,413.46,124.425,-389,2388,-698,2398,1291,1432
5611454,442.18,127.05,413.06,124.425,-389,2405,-703,2399,1297,1433
5611456,441.3,127.575,413.06,124.5,-398,2411,-702,2399,1293,1434
5611458,441.78,127.2,413.3,124.95,-393,2406,-700,2403,1299,1431
5611460,442.18,126.675,413.14,125.7,-388,2400,-700,2411,1296,1428
5611462,441.86,127.05,413.78,124.725,-392,2405,-694,2400,1296,1431
5611464,441.94,127.575,413.62,124.2,-390,2410,-696,2394,1297,1434
5611466,441.78,127.05,413.38,124.8,-392,2404,-698,2401,1292,1431
5611468,441.7,126.975,414.26,125.775,-393,2404,-688,2410,1288,1429
5611470,441.7,126.675,414.18,125.775,-393,2400,-688,2411,1286,1429
5611472,441.86,126.6,413.78,125.625,-391,2398,-692,2410,1290,1426
5611474,442.26,126.75,414.34,126,-387,2400,-686,2413,1287,1427
5611476,442.34,126.9,413.62,125.625,-385,2401,-694,2409,1282,1430
5611478,442.58,125.925,414.34,125.25,-384,2391,-686,2404,1284,1421
5611480,442.9,126.675,414.42,126.075,-379,2399,-685,2413,1281,1423
5611482,442.98,126.225,414.98,125.625,-379,2394,-679,2408,1280,1419
5611484,442.98,127.05,414.82,126.375,-378,2402,-680,2416,1278,1419
5611486,443.14,126.45,414.66,125.925,-377,2396,-682,2411,1279,1418
5611488,442.9,126.45,415.38,125.7,-379,2396,-674,2408,1277,1414
5611490,443.62,126.3,415.22,125.85,-371,2394,-675,2410,1278,1414
5611492,442.98,126.825,414.5,126.3,-377,2400,-683,2416,1277,1409
5611494,443.62,126.675,414.82,126.225,-370,2398,-679,2415,1276,1413
5611496,443.3,126.075,415.22,126.225,-374,2391,-674,2414,1271,1414
5611498,443.38,126,414.58,126.525,-373,2391,-681,2418,1272,1410
5611500,443.62,125.7,415.14,126.825,-370,2387,-675,2421,1267,1410
5611502,443.22,126.375,415.38,126.375,-374,2394,-672,2416,1271,1405
5611504,443.46,125.55,415.3,125.775,-372,2386,-672,2409,1265,1409
5611506,443.94,124.8,415.22,127.125,-367,2377,-673,2424,1263,1403
5611508,443.38,126,415.06,126.975,-371,2390,-674,2423,1265,1403
5611510,443.86,125.025,414.9,126.3,-367,2380,-676,2416,1259,1402
5611512,443.54,125.4,414.26,127.275,-370,2384,-682,2427,1258,1394
5611514,443.78,125.475,414.98,126.975,-367,2384,-674,2423,1255,1396
5611516,444.66,125.175,414.18,127.575,-357,2380,-682,2430,1254,1393
5611518,444.42,124.725,415.06,126.975,-360,2376,-673,2422,1254,1392
5611520,443.86,124.8,414.74,126.525,-365,2377,-676,2418,1254,1393
5611522,444.26,124.65,413.86,127.575,-362,2375,-685,2430,1252,1392
5611524,444.18,124.875,414.82,126.9,-361,2377,-674,2422,1248,1386
5611526,444.5,125.25,414.42,126.225,-357,2381,-679,2415,1250,1392
5611528,444.5,125.475,413.86,127.2,-357,2384,-684,2426,1248,1389
5611530,444.9,124.425,414.18,127.95,-354,2372,-679,2434,1249,1386
5611532,444.82,125.7,414.5,127.575,-353,2386,-677,2430,1248,1383
5611534,444.26,124.5,414.5,127.95,-360,2373,-676,2434,1251,1382
5611536,444.02,124.125,414.02,128.325,-362,2369,-681,2438,1246,1380
5611538,444.34,125.25,414.58,127.725,-358,2382,-675,2431,1244,1383
5611540,444.42,124.575,413.86,127.875,-358,2374,-683,2433,1244,1376
5611542,444.18,125.025,413.38,128.925,-360,2379,-688,2446,1241,1369
5611544,444.98,125.25,413.62,128.775,-352,2381,-685,2443,1242,1371
5611546,445.06,125.7,413.7,130.425,-350,2386,-683,2462,1236,1364
5611548,444.82,124.65,413.3,130.35,-354,2375,-687,2461,1233,1361
5611550,444.82,125.4,413.22,130.8,-353,2383,-688,2466,1236,1364
5611552,444.9,126.225,413.22,130.95,-352,2392,-688,2467,1232,1360
5611554,444.9,125.7,412.82,129.6,-353,2386,-693,2453,1233,1358
5611556,444.98,125.4,413.14,129.9,-352,2383,-690,2457,1231,1359
5611558,444.98,125.925,412.58,129.75,-352,2389,-696,2455,1230,1357
5611560,444.82,124.875,412.18,129.525,-355,2377,-701,2453,1226,1357
5611562,445.22,124.575,412.1,130.2,-351,2374,-701,2461,1229,1355
5611564,445.14,124.725,411.54,128.25,-353,2376,-710,2440,1225,1351
5611566,444.26,124.575,411.62,129.675,-362,2374,-708,2456,1221,1349
5611568,444.9,124.65,411.62,129,-356,2375,-710,2448,1222,1348
5611570,444.66,124.575,411.62,129.375,-359,2375,-709,2452,1219,1345
5611572,444.5,124.725,411.14,129.75,-362,2376,-715,2457,1217,1346
5611574,444.66,124.275,412.1,129.225,-360,2372,-705,2450,1218,1341
5611576,444.74,124.35,411.06,127.95,-361,2373,-719,2438,1217,1340
5611578,444.66,124.35,411.14,128.925,-362,2373,-717,2448,1213,1340
5611580,444.5,124.425,411.38,128.775,-365,2373,-716,2446,1214,1333
5611582,444.26,124.875,410.9,128.25,-367,2379,-722,2441,1212,1329
5611584,444.34,125.025,410.9,128.475,-367,2381,-723,2444,1212,1327
5611586,444.34,125.1,411.7,130.125,-368,2382,-714,2461,1209,1329
5611588,444.58,124.95,410.58,129.3,-366,2380,-727,2454,1206,1327
5611590,444.26,125.475,410.26,130.575,-369,2386,-730,2468,1206,1322
5611592,444.34,126.75,410.58,130.2,-369,2400,-728,2463,1202,1323
5611594,444.26,125.4,410.02,130.575,-371,2385,-734,2468,1202,1319
5611596,443.7,125.55,409.3,130.35,-378,2388,-743,2467,1199,1321
5611598,443.86,125.775,410.18,130.8,-376,2390,-733,2471,1199,1315
5611600,443.94,125.7,410.42,130.65,-376,2389,-732,2469,1201,1312
5611602,443.86,126.075,410.98,130.425,-377,2394,-726,2466,1197,1315
5611604,443.78,125.85,410.1,129.825,-380,2392,-737,2461,1197,1310
5611606,443.86,127.2,409.7,129.825,-378,2407,-741,2461,1194,1313
5611608,444.02,127.8,410.1,130.05,-377,2413,-738,2464,1189,1308
5611610,443.38,126.675,409.94,129.675,-384,2402,-740,2460,1188,1303
5611612,443.06,127.425,410.66,130.275,-388,2411,-733,2466,1189,1308
5611614,444.02,126.9,410.02,129.375,-379,2404,-740,2457,1188,1303
5611616,443.3,127.65,409.78,128.7,-386,2413,-744,2450,1184,1302
5611618,443.54,126.9,409.54,128.925,-384,2405,-747,2452,1183,1299
5611620,442.5,127.275,409.46,128.175,-396,2409,-749,2445,1182,1296
5611622,440.34,127.725,407.06,129,-419,2416,-775,2456,1180,1298
5611624,436.02,129.825,401.62,129.075,-464,2443,-834,2461,1175,1294
5611626,429.3,129.225,393.78,129.45,-537,2442,-918,2472,1182,1298
5611628,419.3,131.625,383.22,129.375,-643,2476,-1033,2478,1177,1296
5611630,407.22,133.125,369.22,129.15,-772,2501,-1184,2487,1180,1293
5611632,393.78,132.825,352.98,128.025,-917,2509,-1360,2488,1180,1298
5611634,380.5,133.125,338.02,129.3,-1060,2522,-1521,2513,1184,1293
5611636,367.54,132.225,321.38,127.8,-1200,2523,-1703,2510,1190,1286
5611638,354.34,132.6,308.58,127.725,-1343,2537,-1843,2519,1188,1288
5611640,344.34,129.825,296.74,126.6,-1453,2514,-1973,2516,1183,1280
5611642,334.74,129.075,287.06,125.85,-1558,2514,-2079,2515,1179,1274
5611644,327.14,127.875,279.7,125.325,-1641,2506,-2159,2515,1182,1267
5611646,319.94,127.725,272.58,124.125,-1720,2510,-2238,2507,1177,1263
5611648,313.94,128.775,265.38,122.55,-1784,2526,-2318,2495,1180,1261
5611650,307.94,128.475,258.82,122.025,-1850,2527,-2390,2494,1180,1261
5611652,304.5,128.175,253.62,120.75,-1887,2527,-2447,2484,1174,1256
5611654,301.7,129.45,251.22,121.65,-1917,2543,-2473,2496,1176,1254
5611656,300.9,129.45,249.7,120.9,-1925,2543,-2490,2488,1176,1251
5611658,301.46,130.5,251.62,122.325,-1918,2555,-2468,2502,1176,1254
5611660,303.46,129.15,254.18,123,-1897,2538,-2439,2508,1173,1253
5611662,305.62,129.975,259.46,121.725,-1873,2545,-2382,2490,1175,1256
5611664,307.14,130.125,262.74,123.15,-1856,2545,-2345,2503,1174,1252
5611666,307.38,129.9,264.82,121.725,-1854,2543,-2322,2485,1173,1256
5611668,307.54,130.725,266.42,120.825,-1851,2551,-2305,2474,1169,1258
5611670,307.62,130.275,267.54,121.8,-1850,2547,-2292,2484,1169,1252
5611672,307.38,130.125,266.82,123,-1852,2545,-2298,2497,1168,1247
5611674,306.9,129.45,266.26,123.45,-1858,2537,-2305,2503,1166,1245
5611676,306.34,130.875,265.78,123.9,-1862,2554,-2309,2507,1167,1245
5611678,306.34,129.975,264.58,124.725,-1863,2544,-2322,2518,1165,1249
5611680,305.78,130.5,264.02,125.25,-1867,2550,-2326,2524,1160,1243
5611682,305.7,130.5,263.06,125.85,-1868,2550,-2337,2531,1160,1241
5611684,305.14,130.5,262.18,125.925,-1873,2550,-2346,2533,1156,1242
5611686,304.74,130.575,260.42,126.375,-1877,2551,-2365,2539,1160,1236
5611688,304.42,131.175,259.78,126.375,-1880,2558,-2371,2539,1157,1236
5611690,304.26,129.75,259.94,124.875,-1883,2542,-2370,2523,1158,1237
5611692,304.18,130.35,259.46,124.95,-1883,2549,-2375,2524,1156,1230
5611694,303.94,130.125,259.54,123.75,-1885,2547,-2374,2510,1154,1229
5611696,304.1,130.35,259.7,122.775,-1883,2549,-2372,2499,1156,1229
5611698,303.86,131.25,259.38,124.125,-1885,2559,-2375,2514,1151,1224
5611700,304.5,131.1,259.94,123.15,-1878,2557,-2368,2503,1150,1224
5611702,304.1,130.725,259.86,122.925,-1882,2553,-2369,2501,1151,1224
5611704,304.02,131.325,260.02,124.05,-1882,2560,-2367,2513,1148,1220
5611706,304.26,129.975,259.78,123.975,-1880,2545,-2369,2512,1150,1218
5611708,304.1,129.9,259.86,124.35,-1882,2544,-2368,2516,1146,1219
