Time,LXpix,LYpix,RXpix,RYpix,LXhref,LYhref,RXhref,RYhref,LP,RP
8875531,449.94,331.35,466.58,326.4,1055,2895,1237,2835,1257,1321
8875533,447.86,329.475,464.1,324.15,1057,2894,1233,2831,1252,1319
8875535,448.1,329.025,464.1,323.625,1059,2890,1233,2825,1255,1318
8875537,448.58,328.125,463.3,324.225,1064,2879,1225,2832,1250,1323
8875539,448.02,330.525,463.54,323.7,1058,2907,1227,2826,1256,1318
8875541,447.54,328.35,463.7,323.625,1053,2882,1229,2825,1254,1324
8875543,448.18,328.5,463.7,323.85,1059,2884,1229,2828,1255,1320
8875545,448.02,328.725,463.38,323.55,1057,2887,1225,2825,1254,1320
8875547,448.02,327.975,463.54,323.325,1056,2878,1225,2822,1254,1317
8875549,448.66,327.3,463.78,324.3,1063,2870,1229,2834,1248,1322
8875551,448.34,329.025,463.94,323.775,1060,2891,1230,2828,1253,1320
8875553,447.94,327.225,462.34,322.8,1055,2870,1212,2817,1247,1317
8875555,448.74,326.925,464.1,323.4,1063,2867,1231,2823,1247,1315
8875557,448.26,328.5,462.74,322.725,1057,2885,1215,2817,1251,1313
8875559,448.9,326.925,462.74,321.45,1064,2867,1214,2802,1249,1317
8875561,448.98,326.7,463.3,323.175,1065,2864,1221,2822,1245,1315
8875563,448.5,328.575,463.46,322.05,1059,2887,1222,2808,1249,1316
8875565,448.58,324.675,462.5,322.65,1059,2842,1212,2815,1239,1316
8875567,448.74,327.225,463.62,322.125,1061,2871,1223,2810,1249,1313
8875569,448.66,327.975,462.1,321.6,1060,2880,1207,2804,1247,1314
8875571,449.3,325.65,462.82,321.15,1066,2852,1214,2799,1239,1314
8875573,449.06,327.75,462.58,321.375,1064,2877,1211,2801,1254,1319
8875575,449.14,326.325,462.5,322.125,1063,2861,1210,2810,1244,1315
8875577,448.74,327.9,462.58,321.825,1060,2878,1211,2807,1251,1321
8875579,448.34,328.95,463.14,321.975,1055,2891,1216,2808,1251,1312
8875581,448.74,326.25,462.66,323.1,1059,2860,1210,2821,1243,1315
8875583,448.58,327.975,462.26,321.975,1056,2879,1206,2808,1251,1317
8875585,448.18,328.725,462.74,321.825,1052,2888,1210,2807,1251,1312
8875587,448.26,328.35,463.22,322.65,1053,2884,1216,2816,1248,1312
8875589,448.74,328.2,461.54,322.05,1058,2882,1197,2809,1244,1310
8875591,448.74,329.175,462.02,323.025,1058,2893,1203,2820,1250,1311
8875593,448.1,327.375,462.18,323.1,1051,2873,1204,2822,1243,1313
8875595,448.02,328.275,461.38,323.175,1050,2883,1196,2822,1248,1307
8875597,448.26,330.075,461.46,323.625,1053,2903,1196,2827,1252,1311
8875599,448.9,328.05,461.78,323.4,1059,2881,1199,2825,1250,1310
8875601,447.46,329.925,462.1,323.775,1044,2903,1203,2829,1248,1308
8875603,448.66,329.625,461.38,323.85,1057,2899,1195,2830,1246,1310
8875605,448.26,329.325,461.78,324.225,1052,2896,1200,2835,1249,1309
8875607,447.78,328.875,462.1,324.675,1046,2891,1203,2840,1244,1309
8875609,448.5,328.95,462.02,324.825,1054,2891,1202,2842,1249,1306
8875611,447.54,328.35,461.94,325.2,1044,2885,1201,2846,1247,1308
8875613,447.46,329.475,461.94,324.75,1044,2899,1201,2842,1251,1309
8875615,449.06,328.5,461.38,323.775,1061,2887,1195,2831,1247,1310
8875617,448.74,328.95,461.46,323.325,1057,2893,1196,2826,1248,1309
8875619,448.1,329.85,461.78,324.375,1051,2904,1199,2838,1246,1307
8875621,448.42,328.425,461.86,324.15,1054,2888,1201,2836,1241,1308
8875623,448.5,328.8,461.06,324.825,1054,2893,1191,2844,1245,1306
8875625,447.78,327.675,461.46,325.05,1046,2880,1196,2847,1244,1307
8875627,448.74,329.325,461.94,323.325,1057,2899,1201,2828,1247,1307
8875629,449.7,326.625,461.94,323.925,1067,2868,1201,2835,1237,1303
